quarter,month,week,track,artist,label,hot100_rank,hot100_last_week,hot100_peak,hot100_woc,hot100_change,hot100_growth_rate,hot100_acceleration,radio_rank,radio_last_week,radio_peak,radio_woc,radio_change,radio_growth_rate,radio_acceleration,streaming_rank,streaming_last_week,streaming_peak,streaming_woc,streaming_change,streaming_growth_rate,streaming_acceleration,sales_rank,sales_last_week,sales_peak,sales_woc,sales_change,sales_growth_rate,sales_acceleration,apple_rank,apple_last_week,apple_peak,apple_woc,apple_change,apple_growth_rate,apple_acceleration,spotify_rank,spotify_last_week,spotify_peak,spotify_woc,spotify_change,spotify_growth_rate,spotify_acceleration,spotify_streams,is_collab,is_top_artist,is_top_label,is_holiday_season,is_summer_season,is_award_season,available_platforms,best_platform,platform_change_momentum,platform_acceleration_momentum,platform_divergence,spotify_vs_apple,streaming_vs_radio,streaming_vs_sales,radio_vs_sales,spotify_leads_apple,streaming_leads_radio,streaming_leads_sales,radio_leads_sales
1,1,1,Santa Tell Me,Ariana Grande,Universal Records,11,12,11,24,0.01,0.08,0.0,0,0,0,0,0.0,0.0,0.0,8,7,7,26,-0.02,-0.14,0.0,0,0,0,0,0.0,0.0,0.0,9,17,8,21,0.08,0.47,0.0,8,9,5,47,0.0,0.11,0.0,10593763,1,0,0,1,0,0,4,streaming,1.88,0.0,0.06,0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",Capitol Records,12,11,9,44,-0.01,-0.09,0.0,37,39,30,31,0.04,0.05,0.0,12,11,5,39,-0.02,-0.09,0.0,18,18,18,22,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,13,14,11,41,0.0,0.07,0.0,9602638,0,0,1,1,0,0,5,hot100,0.38,0.0,0.33,0.0,0.5,0.48,-0.02,0.0,-1.0,0.0,0.0
1,1,1,Underneath The Tree,Kelly Clarkson,RCA Records Label,13,13,11,27,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,10,9,8,26,-0.02,-0.11,0.0,16,16,16,21,0.0,0.0,0.0,7,12,6,21,0.05,0.42,0.0,12,11,8,36,-0.0,-0.09,0.0,9670483,0,0,1,1,0,0,5,apple,0.83,0.0,0.23,0.01,0.0,0.44,0.0,1.0,0.0,0.0,0.0
1,1,1,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,Unknown,14,15,12,35,0.01,0.07,0.0,0,0,0,0,0.0,0.0,0.0,13,15,10,24,0.04,0.13,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,2,streaming,2.5,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Christmas (Baby Please Come Home),Darlene Love,Legacy Recordings,15,17,15,22,0.02,0.12,0.0,0,0,0,0,0.0,0.0,0.0,14,17,8,25,0.06,0.18,0.0,0,0,0,0,0.0,0.0,0.0,20,43,20,14,0.23,0.53,0.0,21,29,19,26,0.04,0.28,0.0,7714208,0,0,1,1,0,0,4,streaming,8.75,0.0,0.11,0.1,0.0,0.0,0.0,0.91,0.0,0.0,0.0
1,1,1,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,Unknown,16,16,16,14,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,15,16,15,15,0.02,0.06,0.0,0,0,0,0,0.0,0.0,0.0,88,0,70,1,0.13,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,3,streaming,7.5,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Deck The Halls,Nat King Cole,CAPITOL CATALOG MKT (C92),17,23,16,13,0.06,0.26,0.0,0,0,0,0,0.0,0.0,0.0,16,18,13,20,0.04,0.11,0.0,0,0,0,0,0.0,0.0,0.0,50,93,47,7,0.43,0.46,0.0,25,33,23,13,0.04,0.24,0.0,7049981,0,0,0,1,0,0,4,streaming,14.25,0.0,0.19,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Blue Christmas,Elvis Presley,RCA Victor,18,25,18,13,0.07,0.28,0.0,0,0,0,0,0.0,0.0,0.0,17,19,17,16,0.04,0.11,0.0,0,0,0,0,0.0,0.0,0.0,97,96,69,7,-0.01,-0.01,0.0,17,27,17,37,0.05,0.37,0.0,8256432,0,0,0,1,0,0,4,streaming,3.75,0.0,0.37,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Cruel Summer,Taylor Swift,Taylor Swift,19,18,1,34,-0.01,-0.06,0.0,1,1,1,28,0.0,0.0,0.0,49,43,1,36,-0.12,-0.14,0.0,13,0,1,26,0.52,0.0,0.0,48,45,7,36,-0.03,-0.07,0.0,36,30,2,59,-0.03,-0.2,0.0,5760538,0,1,0,1,0,0,6,radio,6.6,0.0,0.34,0.3,-0.96,-0.46,0.5,0.23,0.16,-0.48,0.0
1,1,1,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,Unknown,20,30,20,9,0.1,0.33,0.0,0,0,0,0,0.0,0.0,0.0,18,23,18,16,0.1,0.22,0.0,0,0,0,0,0.0,0.0,0.0,44,84,44,7,0.4,0.48,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,3,streaming,20.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,Columbia/Legacy,21,22,21,20,0.01,0.05,0.0,0,0,0,0,0.0,0.0,0.0,23,20,14,22,-0.06,-0.15,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,1,0,0,2,hot100,-2.5,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Run Rudolph Run,Chuck Berry,Geffen*,22,27,10,22,0.05,0.19,0.0,0,0,0,0,0.0,0.0,0.0,20,22,6,26,0.04,0.09,0.0,0,0,0,0,0.0,0.0,0.0,19,38,19,12,0.19,0.5,0.0,22,28,22,35,0.03,0.21,0.0,7643280,0,0,0,1,0,0,4,apple,7.75,0.0,0.15,0.08,0.0,0.0,0.0,0.91,0.0,0.0,0.0
1,1,1,It's Beginning To Look A Lot Like Christmas,Michael Buble,Reprise,23,24,19,20,0.01,0.04,0.0,0,0,0,0,0.0,0.0,0.0,24,21,11,22,-0.06,-0.14,0.0,0,0,0,0,0.0,0.0,0.0,8,13,6,26,0.05,0.38,0.0,11,10,7,48,-0.0,-0.1,0.0,9760690,0,1,0,1,0,0,4,apple,-0.12,0.0,0.19,0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,1,1,Greedy,Tate McRae,RCA Records Label,24,19,7,15,-0.05,-0.26,0.0,3,3,3,12,0.0,0.0,0.0,50,36,8,15,-0.28,-0.39,0.0,0,0,0,0,0.0,0.0,0.0,35,25,25,14,-0.1,-0.4,0.0,33,19,4,15,-0.07,-0.74,0.0,6407466,0,1,1,1,0,0,5,radio,-12.5,0.0,0.36,0.18,-0.94,0.0,0.0,0.01,0.12,0.0,0.0
1,1,1,Little Saint Nick,The Beach Boys,Unknown,25,31,25,8,0.06,0.19,0.0,0,0,0,0,0.0,0.0,0.0,21,25,21,17,0.08,0.16,0.0,0,0,0,0,0.0,0.0,0.0,34,63,34,8,0.29,0.46,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,streaming,14.33,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Wonderful Christmastime,Paul McCartney,Unknown,26,36,26,13,0.1,0.28,0.0,0,0,0,0,0.0,0.0,0.0,25,31,23,17,0.12,0.19,0.0,0,0,0,0,0.0,0.0,0.0,51,94,51,5,0.43,0.46,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,3,streaming,21.67,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Unknown,27,14,12,23,-0.13,-0.93,0.0,0,0,0,0,0.0,0.0,0.0,22,12,5,28,-0.2,-0.83,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,1,0,0,2,streaming,-16.5,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Please Come Home For Christmas,Eagles,Rhino/Elektra,28,32,18,15,0.04,0.12,0.0,0,0,0,0,0.0,0.0,0.0,26,26,26,13,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,95,49,5,0.22,0.23,0.0,29,45,29,16,0.08,0.36,0.0,6713312,0,0,0,1,0,0,4,streaming,11.33,0.0,0.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,Paint The Town Red,Doja Cat,Kemosabe Records/RCA Records,29,21,1,21,-0.08,-0.38,0.0,2,2,1,21,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,24,0,1,19,0.08,0.0,0.0,58,58,2,21,0.0,0.0,0.0,55,41,1,21,-0.07,-0.34,0.0,4721464,0,1,0,1,0,0,5,radio,-2.33,0.0,0.36,0.3,0.0,0.0,0.92,0.92,-0.85,1.0,0.0
1,1,1,Santa Claus Is Comin' To Town,Jackson 5,UNI/MOTOWN,30,35,30,11,0.05,0.14,0.0,0,0,0,0,0.0,0.0,0.0,27,29,27,15,0.04,0.07,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,43,61,30,25,0.09,0.3,0.0,5274960,0,1,0,1,0,0,3,streaming,6.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
