rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
83,"Kanye West, Pusha T",Runaway,Roc-A-Fella,63,95,11,3142739,1/25/2024
84,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,9,81,35,3137840,1/25/2024
85,Travis Scott,MY EYES,Cactus Jack/Epic,8,100,13,3072821,1/25/2024
86,Bad Bunny,MONACO,Rimas Entertainment LLC,2,85,15,3068975,1/25/2024
87,The Red Clay Strays,Wondering Why,Red Clay Strays,83,84,8,3051931,1/25/2024
88,"21 Savage, Summer Walker",prove it,"Slaughter Gang, LLC/Epic Records",39,39,2,3042961,1/25/2024
89,Frank Ocean,Thinkin Bout You,Red Zone Entertainment / IDJ,89,136,4,3016142,1/25/2024
90,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,92,44,3012769,1/25/2024
91,"Jessie Murph, Jelly Roll",Wild Ones (feat. Jelly Roll),Columbia,86,93,16,3007979,1/25/2024
92,Cigarettes After Sex,Apocalypse,Partisan Records,49,98,77,2942169,1/25/2024
93,Lord Huron,The Night We Met,Play It Again Sam,48,106,92,2930655,1/25/2024
94,TV Girl,Cigarettes out the Window,TV Girl,94,107,14,2925313,1/25/2024
95,Junior H,Y LLORO,WEA Latina,95,119,11,2922049,1/25/2024
96,Chris Stapleton,You Should Probably Leave,Mercury Nashville,96,115,31,2913425,1/25/2024
97,Miguel,Sure Thing,Jive,10,97,68,2908923,1/25/2024
98,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,41,105,162,2892208,1/25/2024
99,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,112,271,2887513,1/25/2024
100,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,104,45,2887149,1/25/2024
101,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,2,108,60,2880275,1/25/2024
102,310babii,soak city (do it),HIGH IQ / EMPIRE,102,127,3,2865902,1/25/2024
103,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,7,102,31,2861294,1/25/2024
104,Brent Faiyaz,Clouded,Lost Kids,39,110,67,2851035,1/25/2024
105,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,3,120,144,2850466,1/25/2024
106,21 Savage,sneaky,"Slaughter Gang, LLC/Epic Records",23,23,2,2841197,1/25/2024
107,Zach Bryan,Oklahoma Smokeshow,Warner Records,73,88,28,2839014,1/25/2024
108,"Marvin Gaye, Tammi Terrell",Ain't No Mountain High Enough,UNI/MOTOWN,108,168,11,2836240,1/25/2024
109,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,13,123,85,2817210,1/25/2024
110,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),Republic Records,20,129,52,2790255,1/25/2024
111,Kali Uchis,Moonlight,Geffen Records,27,99,48,2775774,1/25/2024
112,Natasha Bedingfield,Unwritten,Sony Music CG,112,146,3,2769205,1/25/2024
113,Taylor Swift,Anti-Hero,Taylor Swift,1,111,66,2760881,1/25/2024
114,Paul Russell,Lil Boo Thang,Arista Records,80,126,4,2746526,1/25/2024
115,"Xavi, Los Dareyes De La Sierra",Poco A Poco,Interscope Records,115,141,3,2746322,1/25/2024
116,"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),Warner Records,17,125,33,2737453,1/25/2024
117,Sabrina Carpenter,Nonsense,Island Records,15,128,54,2731633,1/25/2024
118,Drake,You Broke My Heart,OVO/Republic,12,116,10,2724373,1/25/2024
119,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,92,133,138,2721767,1/25/2024
120,"21 Savage, Brent Faiyaz",should've wore a bonnet,"Slaughter Gang, LLC/Epic Records",35,35,2,2702870,1/25/2024
121,Zach Bryan,"Burn, Burn, Burn",Warner Records,68,144,24,2685551,1/25/2024
122,Taylor Swift,Lover,Taylor Swift,1,118,61,2680922,1/25/2024
123,PinkPantheress,Pain,Parlophone UK,48,117,35,2670264,1/25/2024
124,Megan Moroney,No Caller ID,Columbia Nashville/Columbia Records,124,-1,1,2670188,1/25/2024
125,"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Aftermath,5,130,166,2669551,1/25/2024
126,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",49,114,77,2666900,1/25/2024
127,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,10,139,59,2664259,1/25/2024
128,The Walters,I Love You So,Warner Records,9,137,73,2664234,1/25/2024
129,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,113,158,2658955,1/25/2024
130,Frank Ocean,Novacane,Red Zone Entertainment / IDJ,90,148,31,2658060,1/25/2024
131,Foo Fighters,Everlong,RCA Records Label,60,142,76,2628518,1/25/2024
132,J. Cole,Wet Dreamz,Roc Nation Records LLC,69,134,118,2628015,1/25/2024
133,"21 Savage, Metro Boomin",Glock In My Lap,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",8,122,67,2613137,1/25/2024
134,Arctic Monkeys,505,Domino Recording Co,18,124,158,2605261,1/25/2024
135,The Weeknd,The Hills,Universal Republic Records,27,138,121,2603656,1/25/2024
136,Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,2,121,13,2595401,1/25/2024
137,Eyedress,Jealous,Lex Records,137,150,23,2584919,1/25/2024
138,Ice Spice,Deli,10K Projects/Capitol Records,28,-1,17,2567585,1/25/2024
139,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,170,72,2564752,1/25/2024
140,Creedence Clearwater Revival,Have You Ever Seen The Rain,Craft Recordings,140,-1,6,2556055,1/25/2024
141,"21 Savage, Lil Durk, Metro Boomin",dangerous,"Slaughter Gang, LLC/Epic Records",24,24,2,2551473,1/25/2024
142,Dua Lipa,Houdini,Warner Records,18,153,8,2551250,1/25/2024
143,Lil Baby,Freestyle,Quality Control Music (Caroline),46,159,81,2540212,1/25/2024
144,Michael Marcagi,Scared To Start,Warner Records,144,-1,1,2530738,1/25/2024
145,Laufey,From The Start,Laufey,45,132,27,2527438,1/25/2024
146,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,32,188,40,2525284,1/25/2024
147,Bryson Tiller,Don't,TrapSoul/RCA Records,82,149,118,2523183,1/25/2024
148,Taylor Swift,cardigan,Taylor Swift,1,135,69,2521178,1/25/2024
149,Kanye West,I Wonder,Roc-A-Fella,57,140,44,2516333,1/25/2024
150,Chris Stapleton,White Horse,Mercury Nashville,45,151,12,2515235,1/25/2024
151,Drake,Passionfruit,Cash Money Records/Young Money Ent./Universal Rec.,1,160,126,2508166,1/25/2024
152,Steve Lacy,C U Girl,L-M Records,152,180,6,2504642,1/25/2024
153,Kendrick Lamar,HUMBLE.,Aftermath,1,186,188,2504255,1/25/2024
154,Harry Styles,As It Was,Columbia,1,131,92,2500071,1/25/2024
155,"Lil Baby, Drake",Yes Indeed,"Quality Control Music, LLC",2,200,171,2499805,1/25/2024
156,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,1,143,60,2490992,1/25/2024
157,"Feid, ATL Jacob",LUNA,UMLE - Latino,157,-1,1,2487468,1/25/2024
158,Taylor Swift,You’re Losing Me (From The Vault),Taylor Swift,7,145,9,2462039,1/25/2024
159,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,162,129,2457226,1/25/2024
160,Keyshia Cole,Love,A&M (UC),150,152,6,2455340,1/25/2024
161,"Noah Kahan, Hozier",Northern Attitude (with Hozier),Mercury Records/Republic Records,16,-1,5,2444645,1/25/2024
162,Dylan Gossett,Coal,Dylan Gossett,162,196,3,2444443,1/25/2024
163,Mac DeMarco,Heart To Heart,Mac’s Record Label,30,181,33,2442375,1/25/2024
164,Travis Scott,goosebumps,Cactus Jack / Epic,8,155,278,2439737,1/25/2024
165,"Noah Kahan, Sam Fender",Homesick (with Sam Fender),Mercury Records/Republic Records,165,-1,1,2439010,1/25/2024
166,"Jordan Davis, Luke Bryan",Buy Dirt,MCA Nashville,67,-1,90,2436991,1/25/2024
167,"J. Cole, Miguel",Power Trip (feat. Miguel),Roc Nation LLC,167,189,3,2435038,1/25/2024
168,Olivia Rodrigo,bad idea right?,Olivia Rodrigo PS,1,161,24,2434559,1/25/2024
169,Taylor Swift,Karma,Taylor Swift,5,147,60,2424629,1/25/2024
170,"Morgan Wallen, Eric Church",Man Made A Bar (feat. Eric Church),Big Loud Records / Mercury Records / Republic Records,13,-1,14,2419013,1/25/2024
171,Tame Impala,The Less I Know The Better,Universal Music Australia Pty. Ltd.,117,-1,130,2418128,1/25/2024
172,TV Girl,Blue Hair,TV Girl,94,154,22,2416966,1/25/2024
173,Bailey Zimmerman,Rock and A Hard Place,Warner Music Nashville/Elektra,26,157,82,2416378,1/25/2024
174,Aaron May,Let Go,MOVEINTHEAM,155,-1,4,2415620,1/25/2024
175,"21 Savage, Young Thug, Metro Boomin",pop ur shit,"Slaughter Gang, LLC/Epic Records",19,19,2,2414035,1/25/2024
176,Warren Zeiders,Pretty Little Poison,Warner Records,116,194,4,2400054,1/25/2024
177,Zach Bryan,Tourniquet,Warner Records,10,185,18,2398476,1/25/2024
178,Lil Tecca,Down With Me,Republic Records,178,-1,1,2397198,1/25/2024
179,"Baby Keem, Kendrick Lamar",family ties (with Kendrick Lamar),Columbia,8,164,125,2393472,1/25/2024
180,Josh Meloy,Porch Light,Josh Meloy Music,180,-1,1,2392197,1/25/2024
181,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),Shady/Aftermath/Interscope Records,2,172,105,2380667,1/25/2024
182,Creedence Clearwater Revival,Fortunate Son,Craft Recordings,107,-1,10,2377438,1/25/2024
183,"Peso Pluma, Tito Double P",LA PEOPLE,Double P Records,115,156,11,2377201,1/25/2024
184,"Offset, Metro Boomin",Ric Flair Drip (with Metro Boomin),"Slaughter Gang, LLC/Epic/Quality Control Music/Motown/Capitol/Boominati Worldwide/Republic",4,165,208,2376787,1/25/2024
185,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,13,166,269,2376562,1/25/2024
186,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,5,171,58,2376420,1/25/2024
187,J. Cole,Work Out,Roc Nation LLC,101,178,71,2375733,1/25/2024
188,Steve Lacy,Some,L-M Records,188,-1,1,2363581,1/25/2024
189,Beach House,Space Song,Bella Union,47,163,121,2355291,1/25/2024
190,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Grupo Frontera,108,176,11,2354379,1/25/2024
191,OneRepublic,I Ain't Worried,Mosley Music/Interscope Records,7,-1,69,2349720,1/25/2024
192,"Travis Scott, Drake",MELTDOWN (feat. Drake),Cactus Jack/Epic,1,175,26,2348324,1/25/2024
193,"Oscar Ortiz, Edgardo Nuñez",FIRST LOVE,"Badsin Records, LLC",193,-1,1,2345153,1/25/2024
194,Chief Keef,Love Sosa,UMGRI Interscope,44,199,62,2321546,1/25/2024
195,Kali Uchis,telepatía,EMI / Interscope,4,-1,60,2321010,1/25/2024
196,Bailey Zimmerman,Religiously,Warner Music Nashville/Elektra,23,167,30,2318226,1/25/2024
197,"Grupo Frontera, Bad Bunny",un x100to,Grupo Frontera,2,169,40,2314554,1/25/2024
198,Baby Keem,ORANGE SODA,Baby Keem LLC,54,179,78,2303542,1/25/2024
199,"Mac Miller, Empire Of The Sun",The Spins,Rostrum Records,61,-1,120,2300719,1/25/2024
200,Drake,Virginia Beach,OVO/Republic,3,-1,14,2295661,1/25/2024
1,21 Savage,redrum,"Slaughter Gang, LLC/Epic Records",1,2,3,10602292,2/1/2024
2,Jack Harlow,Lovin On Me,Generation Now/Atlantic,1,1,12,10317609,2/1/2024
3,Megan Thee Stallion,HISS,Hot Girl Productions,3,-1,1,10280615,2/1/2024
4,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,3,66,10143949,2/1/2024
5,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,1,4,23,9181917,2/1/2024
6,Flo Milli,Never Lose Me,'94 Sounds/RCA Records,6,8,5,8559020,2/1/2024
7,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",7,9,2,8278784,2/1/2024
8,Xavi,La Diabla,Interscope Records,6,6,7,8118941,2/1/2024
9,Mitski,My Love Mine All Mine,Dead Oceans,3,5,20,7753912,2/1/2024
10,Tate McRae,greedy,RCA Records Label,4,11,20,6971188,2/1/2024
11,"Kali Uchis, Peso Pluma",Igual Que Un Ángel (with Peso Pluma),Geffen Records,10,10,3,6755519,2/1/2024
12,Taylor Swift,Cruel Summer,Taylor Swift,2,12,64,6730209,2/1/2024
13,Teddy Swims,Lose Control,Warner Records,13,21,12,6450472,2/1/2024
14,"JID, 21 Savage, Baby Tate",Surround Sound (feat. 21 Savage & Baby Tate),Dreamville/Interscope,11,13,17,6217492,2/1/2024
15,Zach Bryan,Something in the Orange,Warner Records,4,14,93,6152735,2/1/2024
16,"The Weeknd, Playboi Carti, Madonna",Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),XO / Republic Records,16,23,29,6083902,2/1/2024
17,Ariana Grande,"yes, and?",Republic Records,1,7,3,6046368,2/1/2024
18,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,18,27,10,5840513,2/1/2024
19,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,11,17,17,5807299,2/1/2024
20,Xavi,La Víctima,Interscope Records,16,16,9,5728012,2/1/2024
21,Ice Spice,Think U The Shit (Fart),10K Projects/Capitol Records,21,-1,1,5704182,2/1/2024
22,Lil Tecca,500lbs,Galactic Records/Lil Tecca,12,18,21,5548998,2/1/2024
23,Morgan Wallen,Last Night,Big Loud Records / Mercury Records / Republic Records,1,25,53,5480711,2/1/2024
24,Nicki Minaj,FTCU,Republic Records,7,19,8,5274316,2/1/2024
25,Doja Cat,Agora Hills,Kemosabe Records/RCA Records,6,22,19,5202241,2/1/2024
26,Travis Scott,I KNOW ?,Cactus Jack/Epic,3,26,27,5182941,2/1/2024
27,"Drake, Yeat",IDGAF (feat. Yeat),OVO/Republic,1,24,17,5141015,2/1/2024
28,Sabrina Carpenter,Feather,Island Records,20,20,10,5033076,2/1/2024
29,Morgan Wallen,Spin You Around (1/24),Big Loud Records / Mercury Records,29,-1,1,4960907,2/1/2024
30,4batz,act ii: date @ 8,4Batz,30,38,4,4878247,2/1/2024
31,"21 Savage, Travis Scott, Metro Boomin",née-nah,"Slaughter Gang, LLC/Epic Records",5,15,3,4853159,2/1/2024
32,Doja Cat,Paint The Town Red,Kemosabe Records/RCA Records,1,29,26,4771969,2/1/2024
33,SZA,Snooze,Top Dawg Entertainment/RCA Records,10,30,60,4764151,2/1/2024
34,Sophie Ellis-Bextor,Murder On The Dancefloor,Polydor Records,28,28,5,4685361,2/1/2024
35,Gunna,fukumean,300 Entertainment,1,32,33,4585944,2/1/2024
36,Frank Ocean,Pink + White,Boys Don't Cry,30,34,77,4573641,2/1/2024
37,"Drake, J. Cole",First Person Shooter (feat. J. Cole),OVO/Republic,2,36,17,4513650,2/1/2024
38,J. Cole,No Role Modelz,Roc Nation Records LLC,10,35,312,4495926,2/1/2024
39,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,37,135,4429601,2/1/2024
40,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,33,31,4422259,2/1/2024
41,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,41,48,4373880,2/1/2024
42,Rich Amiri,ONE CALL,Internet Money Records / 10K Projects,42,82,3,4321474,2/1/2024
43,Kanye West,Heartless,Roc-A-Fella,40,44,122,4217875,2/1/2024
44,TV Girl,Lovers Rock,TV Girl,38,40,63,4126737,2/1/2024
45,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,2,43,27,4108070,2/1/2024
46,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,40,45,22,4070442,2/1/2024
47,Tate McRae,exes,RCA Records Label,16,42,11,4047160,2/1/2024
48,Morgan Wallen,Wasted On You,Big Loud / Republic,3,54,158,4023684,2/1/2024
49,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,46,14,4005579,2/1/2024
50,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,6,39,29,3999732,2/1/2024
51,Morgan Wallen,You Proof,Big Loud Records / Mercury Records / Republic Records,8,53,90,3986652,2/1/2024
52,Zach Bryan,Heading South,Warner Records,36,56,64,3968522,2/1/2024
53,Kanye West,Father Stretch My Hands Pt. 1,Rock The World/IDJ/Kanye LP7,51,51,101,3941740,2/1/2024
54,Hotel Ugly,Shut up My Moms Calling,"Hotel Ugly, under exclusive license to Amuseio AB",29,49,74,3924122,2/1/2024
55,"Peso Pluma, Anitta",BELLAKEO,Double P Records,35,47,7,3868402,2/1/2024
56,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,20,52,14,3857759,2/1/2024
57,"21 Savage, Doja Cat",n.h.i.e.,"Slaughter Gang, LLC/Epic Records",9,31,3,3780071,2/1/2024
58,TV Girl,Not Allowed,TV Girl,39,50,38,3772888,2/1/2024
59,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,55,60,3726473,2/1/2024
60,The Neighbourhood,Sweater Weather,Columbia,13,57,180,3697753,2/1/2024
61,Good Neighbours,Home,Some Action,61,-1,1,3604485,2/1/2024
62,Justin Timberlake,Selfish,RCA Records Label,62,-1,1,3603676,2/1/2024
63,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,63,63,19,3538500,2/1/2024
64,d4vd,Romantic Homicide,Darkroom/Interscope Records,3,59,78,3505991,2/1/2024
65,21 Savage,all of me,"Slaughter Gang, LLC/Epic Records",13,48,3,3464401,2/1/2024
66,BigXthaPlug,Mmhmm,BigXthaPlug under exclusive license to UnitedMasters LLC,62,62,7,3425256,2/1/2024
67,Tory Lanez,The Color Violet,One Umbrella Records,26,66,74,3404609,2/1/2024
68,Tyla,Water,FAX Records/Epic,23,58,18,3401017,2/1/2024
69,Vance Joy,Riptide,F-Stop Records/Atlantic,67,67,45,3396402,2/1/2024
70,Kenya Grace,Strangers,Warner Records/Major Recordings,17,60,21,3387860,2/1/2024
71,"Kanye West, Pusha T",Runaway,Roc-A-Fella,63,83,12,3371476,2/1/2024
72,"Drake, 21 Savage",Jimmy Cooks (feat. 21 Savage),OVO,2,65,85,3370578,2/1/2024
73,"Bad Bunny, Feid",PERRO NEGRO,Rimas Entertainment LLC,10,69,16,3354288,2/1/2024
74,"Kanye West, Dwele",Flashing Lights,Roc-A-Fella,53,75,107,3337514,2/1/2024
75,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),Warner Records,3,74,23,3319512,2/1/2024
76,The Weeknd,Die For You,Universal Republic Records,8,72,151,3317293,2/1/2024
77,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,62,71,73,3309473,2/1/2024
78,Steve Lacy,Dark Red,Three Quarter,16,73,130,3287754,2/1/2024
79,"Nicki Minaj, Lil Uzi Vert",Everybody (feat. Lil Uzi Vert),Republic Records,27,61,8,3260827,2/1/2024
80,David Kushner,Daylight,Miserable Music Group,11,76,42,3252373,2/1/2024
81,YG Marley,Praise Jah In The Moonlight,YG Marley Music,81,-1,1,3237970,2/1/2024
82,"The Weeknd, Lana Del Rey",Stargirl Interlude,Universal Republic Records,56,81,83,3228421,2/1/2024
83,"KAROL G, Peso Pluma",QLONA,Bichota/Interscope Records,16,70,25,3219110,2/1/2024
84,Michael Marcagi,Scared To Start,Warner Records,84,144,2,3212047,2/1/2024
85,PARTYNEXTDOOR,Break from Toronto,OVO Sound,67,80,48,3207944,2/1/2024
86,"Lil Wayne, Drake, Future",Love Me,CM/Republic,79,79,35,3201279,2/1/2024
87,"Noah Kahan, Post Malone",Dial Drunk (with Post Malone),Mercury Records/Republic Records,13,77,29,3185784,2/1/2024
88,The Killers,Mr. Brightside,Island Records,50,68,179,3180487,2/1/2024
89,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,9,84,36,3164681,2/1/2024
90,"Jessie Murph, Jelly Roll",Wild Ones (feat. Jelly Roll),Columbia,86,91,17,3118847,2/1/2024
91,Travis Scott,MY EYES,Cactus Jack/Epic,8,85,14,3101584,2/1/2024
92,Zach Bryan,Oklahoma Smokeshow,Warner Records,73,107,29,3099452,2/1/2024
93,The Red Clay Strays,Wondering Why,Red Clay Strays,83,87,9,3099395,2/1/2024
94,Frank Ocean,Thinkin Bout You,Red Zone Entertainment / IDJ,89,89,5,3077280,2/1/2024
95,Luke Combs,Fast Car,River House Artists/Columbia Nashville,4,90,45,3066910,2/1/2024
96,Bad Bunny,MONACO,Rimas Entertainment LLC,2,86,16,3057688,2/1/2024
97,Nicki Minaj,Big Foot,Republic Records,97,-1,1,3045672,2/1/2024
98,Taylor Swift,Anti-Hero,Taylor Swift,1,113,67,3013080,2/1/2024
99,Natasha Bedingfield,Unwritten,Sony Music CG,99,112,4,3010791,2/1/2024
100,Miguel,Sure Thing,Jive,10,97,69,2983317,2/1/2024
101,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Lions Gate Entertainment Inc. under exclusive license to Geffen Records,21,78,13,2981534,2/1/2024
102,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,7,103,32,2936886,2/1/2024
103,Cigarettes After Sex,Apocalypse,Partisan Records,49,92,78,2934990,2/1/2024
104,"Kendrick Lamar, Jay Rock",Money Trees,Aftermath,41,98,163,2920589,2/1/2024
105,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,2,101,61,2913688,2/1/2024
106,Chris Stapleton,You Should Probably Leave,Mercury Nashville,96,96,32,2912172,2/1/2024
107,"The Weeknd, Daft Punk",Starboy,Universal Republic Records,3,105,145,2908463,2/1/2024
108,Lord Huron,The Night We Met,Play It Again Sam,48,93,93,2906354,2/1/2024
109,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,99,272,2900746,2/1/2024
110,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,13,109,86,2895001,2/1/2024
111,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,100,46,2886462,2/1/2024
112,TV Girl,Cigarettes out the Window,TV Girl,94,94,15,2869451,2/1/2024
113,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,6,129,159,2856459,2/1/2024
114,Junior H,Y LLORO,WEA Latina,95,95,12,2852307,2/1/2024
115,Taylor Swift,cardigan,Taylor Swift,1,148,70,2846839,2/1/2024
116,Taylor Swift,Don’t Blame Me,"Big Machine Records, LLC",49,126,78,2845735,2/1/2024
117,Chris Stapleton,White Horse,Mercury Nashville,45,150,13,2840193,2/1/2024
118,"Reneé Rapp, Megan Thee Stallion",Not My Fault (with Megan Thee Stallion),Paramount Pictures/Interscope Records,118,-1,1,2817245,2/1/2024
119,Paul Russell,Lil Boo Thang,Arista Records,80,114,5,2769553,2/1/2024
120,Foo Fighters,Everlong,RCA Records Label,60,131,77,2757548,2/1/2024
121,Taylor Swift,Lover,Taylor Swift,1,122,62,2756859,2/1/2024
122,Zach Bryan,"Burn, Burn, Burn",Warner Records,68,121,25,2756303,2/1/2024
123,Brent Faiyaz,Clouded,Lost Kids,39,104,68,2755525,2/1/2024
124,"Zach Bryan, Maggie Rogers",Dawns (feat. Maggie Rogers),Warner Records,17,116,34,2754968,2/1/2024
125,Drake,You Broke My Heart,OVO/Republic,12,118,11,2744159,2/1/2024
126,Warren Zeiders,Pretty Little Poison,Warner Records,116,176,5,2741207,2/1/2024
127,Frank Ocean,Novacane,Red Zone Entertainment / IDJ,90,130,32,2734090,2/1/2024
128,"Metro Boomin, Travis Scott, Young Thug",Trance (with Travis Scott & Young Thug),Republic Records,20,110,53,2732785,2/1/2024
129,"Oscar Ortiz, Edgardo Nuñez",FIRST LOVE,"Badsin Records, LLC",129,193,2,2723075,2/1/2024
130,Chris Stapleton,Tennessee Whiskey,Mercury Nashville,92,119,139,2718874,2/1/2024
131,"Christian Nodal, Peso Pluma",La Intención,"Producciones Ladon, S.A de C.V./Sony Music México",131,-1,1,2713387,2/1/2024
132,"Xavi, Los Dareyes De La Sierra",Poco A Poco,Interscope Records,115,115,4,2709178,2/1/2024
133,"Metro Boomin, Future, Don Toliver",Too Many Nights (feat. Don Toliver & with Future),Republic Records,10,127,60,2703920,2/1/2024
134,"Morgan Wallen, ERNEST",Cowgirls (feat. ERNEST),Big Loud Records / Mercury Records / Republic Records,32,146,41,2690110,2/1/2024
135,The Weeknd,The Hills,Universal Republic Records,27,135,122,2688487,2/1/2024
136,"21 Savage, Summer Walker",prove it,"Slaughter Gang, LLC/Epic Records",39,88,3,2686484,2/1/2024
137,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,139,73,2683394,2/1/2024
138,"Marvin Gaye, Tammi Terrell",Ain't No Mountain High Enough,UNI/MOTOWN,108,108,12,2681718,2/1/2024
139,Arctic Monkeys,505,Domino Recording Co,18,134,159,2677658,2/1/2024
140,PinkPantheress,Pain,Parlophone UK,48,123,36,2674870,2/1/2024
141,Kali Uchis,Moonlight,Geffen Records,27,111,49,2666049,2/1/2024
142,"Kendrick Lamar, Zacari",LOVE. FEAT. ZACARI.,Aftermath,5,125,167,2654659,2/1/2024
143,J. Cole,Wet Dreamz,Roc Nation Records LLC,69,132,119,2624149,2/1/2024
144,Sabrina Carpenter,Nonsense,Island Records,15,117,55,2621717,2/1/2024
145,Dylan Gossett,Coal,Dylan Gossett,145,162,4,2619831,2/1/2024
146,SZA,Good Days,Top Dawg Entertainment/RCA Records,1,159,130,2617105,2/1/2024
147,Dua Lipa,Houdini,Warner Records,18,142,9,2613642,2/1/2024
148,"21 Savage, Metro Boomin",Glock In My Lap,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",8,133,68,2612428,2/1/2024
149,The Walters,I Love You So,Warner Records,9,128,74,2610595,2/1/2024
150,"Keith David, Blake Roman, Andrew Underberg, Sam Haft","Loser, Baby",A24 Music,150,-1,1,2607138,2/1/2024
151,"Morgan Wallen, Eric Church",Man Made A Bar (feat. Eric Church),Big Loud Records / Mercury Records / Republic Records,13,170,15,2588493,2/1/2024
152,Drake,Passionfruit,Cash Money Records/Young Money Ent./Universal Rec.,1,151,127,2577855,2/1/2024
153,Ice Spice,Deli,10K Projects/Capitol Records,28,138,18,2570101,2/1/2024
154,Cody Johnson,The Painter,CoJo Music/Warner Music Nashville,150,-1,4,2546064,2/1/2024
155,Kanye West,I Wonder,Roc-A-Fella,57,149,45,2539817,2/1/2024
156,Zach Bryan,Tourniquet,Warner Records,10,177,19,2530447,2/1/2024
157,The Cranberries,Linger,Island Records,157,-1,1,2528391,2/1/2024
158,Bryson Tiller,Don't,TrapSoul/RCA Records,82,147,119,2526095,2/1/2024
159,Harry Styles,As It Was,Columbia,1,154,93,2523584,2/1/2024
160,Taylor Swift,Karma,Taylor Swift,5,169,61,2522035,2/1/2024
161,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,1,156,61,2514292,2/1/2024
