rank,artist,track,label,sp_peak,sp_last_week,sp_woc,streams,date
61,"Drake, J. Cole",First Person Shooter (feat. J. Cole),OVO/Republic,2,44,12,4501780,12/28/2023
62,Gayla Peevey,I Want a Hippopotamus for Christmas (Hippo the Hero),Sony Music Entertainment,62,86,7,4433347,12/28/2023
63,Olivia Rodrigo,vampire,Olivia Rodrigo PS,1,47,26,4380570,12/28/2023
64,The Jackson 5,I Saw Mommy Kissing Santa Claus,UNI/MOTOWN,55,96,22,4349266,12/28/2023
65,Mariah Carey,Christmas (Baby Please Come Home),Columbia,48,70,27,4330255,12/28/2023
66,Frank Sinatra,Have Yourself A Merry Little Christmas - Remastered 1999,Capitol Records,58,97,9,4312116,12/28/2023
67,Travis Scott,I KNOW ?,Cactus Jack/Epic,3,49,22,4255702,12/28/2023
68,Xavi,La Víctima,Interscope Records,68,76,4,4197140,12/28/2023
69,Bing Crosby,Winter Wonderland - Remastered,Geffen,48,103,32,4169565,12/28/2023
70,"Gwen Stefani, Blake Shelton",You Make It Feel Like Christmas (feat. Blake Shelton),UMGRI Interscope,61,83,15,4114333,12/28/2023
71,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,5,57,130,4106945,12/28/2023
72,Elvis Presley,Here Comes Santa Claus (Right Down Santa Claus Lane),RCA Victor,72,107,10,4073940,12/28/2023
73,Bing Crosby,Do You Hear What I Hear,Dance Plant Records,48,99,30,4072238,12/28/2023
74,"Nicki Minaj, Lil Uzi Vert",Everybody (feat. Lil Uzi Vert),Republic Records,35,42,3,4064142,12/28/2023
75,Taylor Swift,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1,51,9,4063838,12/28/2023
76,Perry Como,(There's No Place Like) Home for the Holidays - 1959 Version,RCA Records Label,73,117,15,4052292,12/28/2023
77,"Fuerza Regida, Marshmello",HARLEY QUINN,Rancho Humilde/Street Mob Records,20,59,9,4050946,12/28/2023
78,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,53,55,4042673,12/28/2023
79,*NSYNC,"Merry Christmas, Happy Holidays",RCA Records Label,43,84,20,4033083,12/28/2023
80,Frank Sinatra,Mistletoe And Holly - Remastered 1999,Capitol Records,61,121,27,3959489,12/28/2023
81,Elton John,Step Into Christmas - Remastered 1995,EMI,52,140,10,3953524,12/28/2023
82,Jonas Brothers,Like It's Christmas,Jonas Brothers,65,87,16,3935895,12/28/2023
83,John Williams,"Carol of the Bells (From ""Home Alone"" Soundtrack)",Masterworks,40,119,35,3925906,12/28/2023
84,"Drake, Sexyy Red, SZA",Rich Baby Daddy (feat. Sexyy Red & SZA),OVO/Republic,11,68,12,3848050,12/28/2023
85,J. Cole,No Role Modelz,Roc Nation Records LLC,10,63,307,3811439,12/28/2023
86,Vince Guaraldi Trio,O Tannenbaum,Craft Recordings,51,137,20,3803665,12/28/2023
87,Cher,DJ Play A Christmas Song,Warner Records,87,133,2,3739900,12/28/2023
88,"Juice WRLD, Eminem, benny blanco",Lace It (with Eminem & benny blanco),Grade A Productions/Interscope Records,88,116,2,3722651,12/28/2023
89,Pentatonix,Hallelujah,RCA Records Label,89,113,17,3707155,12/28/2023
90,Nat King Cole,"Caroling, Caroling",CAPITOL CATALOG MKT (C92),90,130,6,3658227,12/28/2023
91,Judy Garland,Have Yourself a Merry Little Christmas,Delta - X5 Music Group,58,146,29,3627870,12/28/2023
92,Stevie Wonder,What Christmas Means To Me,UNI/MOTOWN,89,172,12,3603226,12/28/2023
93,Tate McRae,exes,RCA Records Label,16,55,6,3601580,12/28/2023
94,TV Girl,Not Allowed,TV Girl,58,69,33,3532846,12/28/2023
95,Britney Spears,My Only Wish (This Year),Jive,81,124,11,3507784,12/28/2023
96,Bad Bunny,MONACO,Rimas Entertainment LLC,2,75,11,3499187,12/28/2023
97,The Neighbourhood,Sweater Weather,Columbia,13,81,175,3481208,12/28/2023
98,"Calle 24, Chino Pacas, Fuerza Regida",Que Onda,Street Mob Records,40,85,17,3479024,12/28/2023
99,"Peso Pluma, Anitta",BELLAKEO,Double P Records,99,105,2,3473834,12/28/2023
100,TV Girl,Lovers Rock,TV Girl,47,71,58,3467738,12/28/2023
101,Frank Ocean,Pink + White,Boys Don't Cry,30,73,72,3447568,12/28/2023
102,Tyla,Water,FAX Records/Epic,23,79,13,3375716,12/28/2023
103,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,6,90,24,3287066,12/28/2023
104,Carpenters,Merry Christmas Darling - Remix,A&M,87,150,12,3238788,12/28/2023
105,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,77,89,5,3228832,12/28/2023
106,Kenya Grace,Strangers,Warner Records/Major Recordings,17,93,16,3219963,12/28/2023
107,Olivia Rodrigo,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Lions Gate Entertainment Inc. under exclusive license to Geffen Records,21,78,8,3216805,12/28/2023
108,Vince Guaraldi Trio,Linus And Lucy,Fantasy Records,91,181,6,3176926,12/28/2023
109,Morgan Wallen,Thinkin’ Bout Me,Big Loud Records / Mercury Records / Republic Records,9,95,43,3161877,12/28/2023
110,Kanye West,Heartless,Roc-A-Fella,40,92,117,3158031,12/28/2023
111,Sabrina Carpenter,A Nonsense Christmas,Island Records,111,151,2,3157609,12/28/2023
112,"Peso Pluma, Gabito Ballesteros, Junior H",LADY GAGA,Double P Records,7,88,27,3156628,12/28/2023
113,"Eslabon Armado, Peso Pluma",Ella Baila Sola,DEL Records,1,98,41,3140609,12/28/2023
