date,rank,track,artist,radio_last_week,radio_peak,radio_woc
4/20/2024,48,We Ride,Bryan Martin,50,48,2
4/20/2024,49,Get In With Me,BossMan Dlow,-,49,1
4/20/2024,50,23,Chayce Beckham,28,17,16
4/27/2024,1,Lose Control,Teddy Swims,1,1,19
4/27/2024,2,Agora Hills,Doja Cat,3,2,23
4/27/2024,3,Beautiful Things,Benson Boone,4,3,9
4/27/2024,4,Lovin On Me,Jack Harlow,2,1,22
4/27/2024,5,Texas Hold 'Em,Beyonce,6,5,9
4/27/2024,6,Greedy,Tate McRae,5,3,28
4/27/2024,7,Feather,Sabrina Carpenter,7,6,15
4/27/2024,8,Cruel Summer,Taylor Swift,9,1,44
4/27/2024,9,Fast Car,Luke Combs,10,1,49
4/27/2024,10,Outskirts,Sam Hunt,15,10,8
4/27/2024,11,Water,Tyla,8,3,26
4/27/2024,12,Made For Me,Muni Long,12,12,10
4/27/2024,13,Snooze,SZA,11,1,49
4/27/2024,14,Stick Season,Noah Kahan,16,14,10
4/27/2024,15,We Can't Be Friends (Wait For Your Love),Ariana Grande,19,15,4
4/27/2024,16,Saturn,SZA,22,16,5
4/27/2024,17,Everybody,Nicki Minaj Featuring Lil Uzi Vert,18,10,15
4/27/2024,18,Man Made A Bar,Morgan Wallen Featuring Eric Church,14,14,12
4/27/2024,19,Selfish,Justin Timberlake,13,12,12
4/27/2024,20,Back Then Right Now,Tyler Hubbard,23,20,9
4/27/2024,21,Tucson Too Late,Jordan Davis,24,21,10
4/27/2024,22,Houdini,Dua Lipa,17,7,23
4/27/2024,23,Paint The Town Red,Doja Cat,21,1,37
4/27/2024,24,Cab In A Solo,Scotty McCreery,25,24,10
4/27/2024,25,Where It Ends,Bailey Zimmerman,27,25,6
4/27/2024,26,Take Her Home,Kenny Chesney,30,26,7
4/27/2024,27,Redrum,21 Savage,28,27,7
4/27/2024,28,Wildflowers And Wild Horses,Lainey Wilson,29,28,10
4/27/2024,29,Halfway To Hell,Jelly Roll,32,29,5
4/27/2024,30,Obsessed,Olivia Rodrigo,33,30,4
4/27/2024,31,Like That,"Future, Metro Boomin & Kendrick Lamar",41,31,2
4/27/2024,32,Soak City,310babii,26,21,13
4/27/2024,33,Your Place,Ashley Cooke,36,33,5
4/27/2024,34,Fearless (The Echo),Jackson Dean,34,34,6
4/27/2024,35,Act II: Date @ 8,4batz Featuring Drake,38,35,3
4/27/2024,36,FTCU,Nicki Minaj,37,36,5
4/27/2024,37,Sensational,Chris Brown Featuring Davido & Lojay,31,20,14
4/27/2024,38,Not My Fault,Renee Rapp & Megan Thee Stallion,44,38,4
4/27/2024,39,Let Your Boys Be Country,Jason Aldean,40,39,4
4/27/2024,40,Never Lose Me,Flo Milli,42,40,4
4/27/2024,41,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,45,41,3
4/27/2024,42,Too Sweet,Hozier,-,42,1
4/27/2024,43,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,43,41,5
4/27/2024,44,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,35,15,13
4/27/2024,45,We Ride,Bryan Martin,48,45,3
4/27/2024,46,Not The 1975,Knox,47,46,3
4/27/2024,47,End Of Beginning,Djo,-,47,1
4/27/2024,48,Enough (Miami),Cardi B,-,48,1
4/27/2024,49,Yeah Glo!,GloRilla,-,49,1
4/27/2024,50,Get In With Me,BossMan Dlow,49,49,2
5/4/2024,1,Lose Control,Teddy Swims,1,1,20
5/4/2024,2,Beautiful Things,Benson Boone,3,2,10
5/4/2024,3,Agora Hills,Doja Cat,2,2,24
5/4/2024,4,Lovin On Me,Jack Harlow,4,1,23
5/4/2024,5,Feather,Sabrina Carpenter,7,5,16
5/4/2024,6,Greedy,Tate McRae,6,3,29
5/4/2024,7,Cruel Summer,Taylor Swift,8,1,45
5/4/2024,8,Saturn,SZA,16,8,6
5/4/2024,9,Texas Hold 'Em,Beyonce,5,5,10
5/4/2024,10,We Can't Be Friends (Wait For Your Love),Ariana Grande,15,10,5
5/4/2024,11,Stick Season,Noah Kahan,14,11,11
5/4/2024,12,Outskirts,Sam Hunt,10,10,9
5/4/2024,13,Made For Me,Muni Long,12,12,11
5/4/2024,14,Fortnight,Taylor Swift Featuring Post Malone,-,14,1
5/4/2024,15,Everybody,Nicki Minaj Featuring Lil Uzi Vert,17,10,16
5/4/2024,16,Cab In A Solo,Scotty McCreery,24,16,11
5/4/2024,17,Back Then Right Now,Tyler Hubbard,20,17,10
5/4/2024,18,Tucson Too Late,Jordan Davis,21,18,11
5/4/2024,19,Where It Ends,Bailey Zimmerman,25,19,7
5/4/2024,20,Take Her Home,Kenny Chesney,26,20,8
5/4/2024,21,Like That,"Future, Metro Boomin & Kendrick Lamar",31,21,3
5/4/2024,22,Halfway To Hell,Jelly Roll,29,22,6
5/4/2024,23,Wildflowers And Wild Horses,Lainey Wilson,28,23,11
5/4/2024,24,Too Sweet,Hozier,42,24,2
5/4/2024,25,Redrum,21 Savage,27,25,8
5/4/2024,26,Obsessed,Olivia Rodrigo,30,26,5
5/4/2024,27,Act II: Date @ 8,4batz Featuring Drake,35,27,4
5/4/2024,28,Your Place,Ashley Cooke,33,28,6
5/4/2024,29,Selfish,Justin Timberlake,19,12,13
5/4/2024,30,Fearless (The Echo),Jackson Dean,34,30,7
5/4/2024,31,Never Lose Me,Flo Milli,40,31,5
5/4/2024,32,FTCU,Nicki Minaj,36,32,6
5/4/2024,33,Soak City,310babii,32,21,14
5/4/2024,34,Let Your Boys Be Country,Jason Aldean,39,34,5
5/4/2024,35,Not My Fault,Renee Rapp & Megan Thee Stallion,38,35,5
5/4/2024,36,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,43,36,6
5/4/2024,37,Yeah Glo!,GloRilla,49,37,2
5/4/2024,38,Sensational,Chris Brown Featuring Davido & Lojay,37,20,15
5/4/2024,39,We Ride,Bryan Martin,45,39,4
5/4/2024,40,End Of Beginning,Djo,47,40,2
5/4/2024,41,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,41,41,4
5/4/2024,42,Get In With Me,BossMan Dlow,50,42,3
5/4/2024,43,Enough (Miami),Cardi B,48,43,2
5/4/2024,44,Mamaw's House,Thomas Rhett Featuring Morgan Wallen,44,15,14
5/4/2024,45,Not The 1975,Knox,46,45,4
5/4/2024,46,Young Love & Saturday Nights,Chris Young,-,46,1
5/4/2024,47,Bulletproof,Nate Smith,-,47,1
5/4/2024,48,Get It Sexyy,Sexyy Red,-,48,1
5/4/2024,49,Luna,Feid & ATL Jacob,-,49,1
5/4/2024,50,Love You Again,Chase Matthew,-,50,1
5/11/2024,1,Lose Control,Teddy Swims,1,1,21
5/11/2024,2,Beautiful Things,Benson Boone,2,2,11
5/11/2024,3,Agora Hills,Doja Cat,3,2,25
5/11/2024,4,Lovin On Me,Jack Harlow,4,1,24
5/11/2024,5,Feather,Sabrina Carpenter,5,5,17
5/11/2024,6,Saturn,SZA,8,6,7
5/11/2024,7,We Can't Be Friends (Wait For Your Love),Ariana Grande,10,7,6
5/11/2024,8,Greedy,Tate McRae,6,3,30
5/11/2024,9,Cruel Summer,Taylor Swift,7,1,46
5/11/2024,10,Stick Season,Noah Kahan,11,10,12
5/11/2024,11,Fortnight,Taylor Swift Featuring Post Malone,14,11,2
5/11/2024,12,Made For Me,Muni Long,13,12,12
5/11/2024,13,Texas Hold 'Em,Beyonce,9,5,11
5/11/2024,14,Outskirts,Sam Hunt,12,10,10
5/11/2024,15,Back Then Right Now,Tyler Hubbard,17,15,11
5/11/2024,16,Tucson Too Late,Jordan Davis,18,16,12
5/11/2024,17,Where It Ends,Bailey Zimmerman,19,17,8
5/11/2024,18,Too Sweet,Hozier,24,18,3
5/11/2024,19,Wildflowers And Wild Horses,Lainey Wilson,23,19,12
5/11/2024,20,Like That,"Future, Metro Boomin & Kendrick Lamar",21,20,4
5/11/2024,21,Halfway To Hell,Jelly Roll,22,21,7
5/11/2024,22,Take Her Home,Kenny Chesney,20,20,9
5/11/2024,23,Obsessed,Olivia Rodrigo,26,23,6
5/11/2024,24,Act II: Date @ 8,4batz Featuring Drake,27,24,5
5/11/2024,25,Your Place,Ashley Cooke,28,25,7
5/11/2024,26,Cab In A Solo,Scotty McCreery,16,16,12
5/11/2024,27,Yeah Glo!,GloRilla,37,27,3
5/11/2024,28,Never Lose Me,Flo Milli,31,28,6
5/11/2024,29,Let Your Boys Be Country,Jason Aldean,34,29,6
5/11/2024,30,Fearless (The Echo),Jackson Dean,30,30,8
5/11/2024,31,End Of Beginning,Djo,40,31,3
5/11/2024,32,Redrum,21 Savage,25,25,9
5/11/2024,33,We Ride,Bryan Martin,39,33,5
5/11/2024,34,Soak City,310babii,33,21,15
5/11/2024,35,Get In With Me,BossMan Dlow,42,35,4
5/11/2024,36,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,36,36,7
5/11/2024,37,Enough (Miami),Cardi B,43,37,3
5/11/2024,38,Sensational,Chris Brown Featuring Davido & Lojay,38,20,16
5/11/2024,39,Espresso,Sabrina Carpenter,-,39,1
5/11/2024,40,Illusion,Dua Lipa,-,40,1
5/11/2024,41,Selfish,Justin Timberlake,29,12,14
5/11/2024,42,Get It Sexyy,Sexyy Red,48,42,2
5/11/2024,43,Bulletproof,Nate Smith,47,43,2
5/11/2024,44,Young Love & Saturday Nights,Chris Young,46,44,2
5/11/2024,45,Not My Fault,Renee Rapp & Megan Thee Stallion,35,35,6
5/11/2024,46,Not The 1975,Knox,45,45,5
5/11/2024,47,Dirt Cheap,Cody Johnson,-,47,1
5/11/2024,48,Love You Again,Chase Matthew,50,48,2
5/11/2024,49,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,41,41,5
5/11/2024,50,Punteria,Shakira & Cardi B,-,50,1
5/18/2024,1,Lose Control,Teddy Swims,1,1,22
5/18/2024,2,Beautiful Things,Benson Boone,2,2,12
5/18/2024,3,Saturn,SZA,6,3,8
5/18/2024,4,Lovin On Me,Jack Harlow,4,1,25
5/18/2024,5,Feather,Sabrina Carpenter,5,5,18
5/18/2024,6,Agora Hills,Doja Cat,3,2,26
5/18/2024,7,We Can't Be Friends (Wait For Your Love),Ariana Grande,7,7,7
5/18/2024,8,Greedy,Tate McRae,8,3,31
5/18/2024,9,Stick Season,Noah Kahan,10,9,13
5/18/2024,10,Cruel Summer,Taylor Swift,9,1,47
5/18/2024,11,Fortnight,Taylor Swift Featuring Post Malone,11,11,3
5/18/2024,12,Too Sweet,Hozier,18,12,4
5/18/2024,13,Tucson Too Late,Jordan Davis,16,13,13
5/18/2024,14,Back Then Right Now,Tyler Hubbard,15,14,12
5/18/2024,15,Outskirts,Sam Hunt,14,10,11
5/18/2024,16,Where It Ends,Bailey Zimmerman,17,16,9
5/18/2024,17,Like That,"Future, Metro Boomin & Kendrick Lamar",20,17,5
5/18/2024,18,Made For Me,Muni Long,12,12,13
5/18/2024,19,Halfway To Hell,Jelly Roll,21,19,8
5/18/2024,20,Take Her Home,Kenny Chesney,22,20,10
5/18/2024,21,Obsessed,Olivia Rodrigo,23,21,7
5/18/2024,22,Act II: Date @ 8,4batz Featuring Drake,24,22,6
5/18/2024,23,Your Place,Ashley Cooke,25,23,8
5/18/2024,24,Get In With Me,BossMan Dlow,35,24,5
5/18/2024,25,Yeah Glo!,GloRilla,27,25,4
5/18/2024,26,Espresso,Sabrina Carpenter,39,26,2
5/18/2024,27,Wildflowers And Wild Horses,Lainey Wilson,19,19,13
5/18/2024,28,Let Your Boys Be Country,Jason Aldean,29,28,7
5/18/2024,29,End Of Beginning,Djo,31,29,4
5/18/2024,30,Illusion,Dua Lipa,40,30,2
5/18/2024,31,We Ride,Bryan Martin,33,31,6
5/18/2024,32,Enough (Miami),Cardi B,37,32,4
5/18/2024,33,Never Lose Me,Flo Milli,28,28,7
5/18/2024,34,Redrum,21 Savage,32,25,10
5/18/2024,35,Fearless (The Echo),Jackson Dean,30,30,9
5/18/2024,36,I Had Some Help,Post Malone Featuring Morgan Wallen,-,36,1
5/18/2024,37,Texas Hold 'Em,Beyonce,13,5,12
5/18/2024,38,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,36,36,8
5/18/2024,39,Young Love & Saturday Nights,Chris Young,44,39,3
5/18/2024,40,Get It Sexyy,Sexyy Red,42,40,3
5/18/2024,41,Bulletproof,Nate Smith,43,41,3
5/18/2024,42,Dirt Cheap,Cody Johnson,47,42,2
5/18/2024,43,Sensational,Chris Brown Featuring Davido & Lojay,38,20,17
5/18/2024,44,Soak City,310babii,34,21,16
5/18/2024,45,Whatever She Wants,Bryson Tiller,-,45,1
5/18/2024,46,Love You Again,Chase Matthew,48,46,3
5/18/2024,47,A Symptom Of Being Human,Shinedown,-,47,1
5/18/2024,48,I'm Not Pretty,Megan Moroney,-,48,1
5/18/2024,49,Selfish,Justin Timberlake,41,12,15
5/18/2024,50,Punteria,Shakira & Cardi B,50,50,2
5/25/2024,1,Lose Control,Teddy Swims,1,1,23
5/25/2024,2,Beautiful Things,Benson Boone,2,2,13
5/25/2024,3,Saturn,SZA,3,3,9
5/25/2024,4,We Can't Be Friends (Wait For Your Love),Ariana Grande,7,4,8
5/25/2024,5,Lovin On Me,Jack Harlow,4,1,26
5/25/2024,6,Feather,Sabrina Carpenter,5,5,19
5/25/2024,7,Agora Hills,Doja Cat,6,2,27
5/25/2024,8,Too Sweet,Hozier,12,8,5
5/25/2024,9,Stick Season,Noah Kahan,9,9,14
5/25/2024,10,Fortnight,Taylor Swift Featuring Post Malone,11,10,4
5/25/2024,11,Cruel Summer,Taylor Swift,10,1,48
5/25/2024,12,Greedy,Tate McRae,8,3,32
5/25/2024,13,Like That,"Future, Metro Boomin & Kendrick Lamar",17,13,6
5/25/2024,14,Back Then Right Now,Tyler Hubbard,14,14,13
5/25/2024,15,I Had Some Help,Post Malone Featuring Morgan Wallen,36,15,2
5/25/2024,16,Tucson Too Late,Jordan Davis,13,13,14
5/25/2024,17,Where It Ends,Bailey Zimmerman,16,16,10
5/25/2024,18,Outskirts,Sam Hunt,15,10,12
5/25/2024,19,Halfway To Hell,Jelly Roll,19,19,9
5/25/2024,20,Made For Me,Muni Long,18,12,14
5/25/2024,21,Take Her Home,Kenny Chesney,20,20,11
5/25/2024,22,Obsessed,Olivia Rodrigo,21,21,8
5/25/2024,23,Espresso,Sabrina Carpenter,26,23,3
5/25/2024,24,Yeah Glo!,GloRilla,25,24,5
5/25/2024,25,Your Place,Ashley Cooke,23,23,9
5/25/2024,26,Act II: Date @ 8,4batz Featuring Drake,22,22,7
5/25/2024,27,Enough (Miami),Cardi B,32,27,5
5/25/2024,28,End Of Beginning,Djo,29,28,5
5/25/2024,29,Illusion,Dua Lipa,30,29,3
5/25/2024,30,Get In With Me,BossMan Dlow,24,24,6
5/25/2024,31,Let Your Boys Be Country,Jason Aldean,28,28,8
5/25/2024,32,We Ride,Bryan Martin,31,31,7
5/25/2024,33,Bulletproof,Nate Smith,41,33,4
5/25/2024,34,Fearless (The Echo),Jackson Dean,35,30,10
5/25/2024,35,Get It Sexyy,Sexyy Red,40,35,4
5/25/2024,36,Young Love & Saturday Nights,Chris Young,39,36,4
5/25/2024,37,Dirt Cheap,Cody Johnson,42,37,3
5/25/2024,38,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,38,36,9
5/25/2024,39,Whatever She Wants,Bryson Tiller,45,39,2
5/25/2024,40,Sensational,Chris Brown Featuring Davido & Lojay,43,20,18
5/25/2024,41,Soak City,310babii,44,21,17
5/25/2024,42,Redrum,21 Savage,34,25,11
5/25/2024,43,Cowgirls,Morgan Wallen Featuring ERNEST,-,43,1
5/25/2024,44,Not Like Us,Kendrick Lamar,-,44,1
5/25/2024,45,Love You Again,Chase Matthew,46,45,4
5/25/2024,46,A Symptom Of Being Human,Shinedown,47,46,2
5/25/2024,47,I'm Not Pretty,Megan Moroney,48,47,2
5/25/2024,48,II Most Wanted,Beyonce & Miley Cyrus,-,48,1
5/25/2024,49,Chevrolet,Dustin Lynch Featuring Jelly Roll,-,49,1
5/25/2024,50,She's Somebody's Daughter (Reimagined),Drew Baldridge,-,50,1
6/1/2024,1,Lose Control,Teddy Swims,1,1,24
6/1/2024,2,Beautiful Things,Benson Boone,2,2,14
6/1/2024,3,Saturn,SZA,3,3,10
6/1/2024,4,We Can't Be Friends (Wait For Your Love),Ariana Grande,4,4,9
6/1/2024,5,Too Sweet,Hozier,8,5,6
6/1/2024,6,Agora Hills,Doja Cat,7,2,28
6/1/2024,7,Feather,Sabrina Carpenter,6,5,20
6/1/2024,8,Lovin On Me,Jack Harlow,5,1,27
6/1/2024,9,I Had Some Help,Post Malone Featuring Morgan Wallen,15,9,3
6/1/2024,10,Fortnight,Taylor Swift Featuring Post Malone,10,10,5
6/1/2024,11,Stick Season,Noah Kahan,9,9,15
6/1/2024,12,Where It Ends,Bailey Zimmerman,17,12,11
6/1/2024,13,Like That,"Future, Metro Boomin & Kendrick Lamar",13,13,7
6/1/2024,14,Greedy,Tate McRae,12,3,33
6/1/2024,15,Halfway To Hell,Jelly Roll,19,15,10
6/1/2024,16,Back Then Right Now,Tyler Hubbard,14,14,14
6/1/2024,17,Take Her Home,Kenny Chesney,21,17,12
6/1/2024,18,Outskirts,Sam Hunt,18,10,13
6/1/2024,19,Espresso,Sabrina Carpenter,23,19,4
6/1/2024,20,Tucson Too Late,Jordan Davis,16,13,15
6/1/2024,21,Made For Me,Muni Long,20,12,15
6/1/2024,22,Obsessed,Olivia Rodrigo,22,21,9
6/1/2024,23,Your Place,Ashley Cooke,25,23,10
6/1/2024,24,Yeah Glo!,GloRilla,24,24,6
6/1/2024,25,Enough (Miami),Cardi B,27,25,6
6/1/2024,26,Lunch,Billie Eilish,-,26,1
6/1/2024,27,End Of Beginning,Djo,28,27,6
6/1/2024,28,Not Like Us,Kendrick Lamar,44,28,2
6/1/2024,29,Illusion,Dua Lipa,29,29,4
6/1/2024,30,Let Your Boys Be Country,Jason Aldean,31,28,9
6/1/2024,31,We Ride,Bryan Martin,32,31,8
6/1/2024,32,Bulletproof,Nate Smith,33,32,5
6/1/2024,33,Get It Sexyy,Sexyy Red,35,33,5
6/1/2024,34,Act II: Date @ 8,4batz Featuring Drake,26,22,8
6/1/2024,35,Young Love & Saturday Nights,Chris Young,36,35,5
6/1/2024,36,Dirt Cheap,Cody Johnson,37,36,4
6/1/2024,37,A Bar Song (Tipsy),Shaboozey,-,37,1
6/1/2024,38,Whatever She Wants,Bryson Tiller,39,38,3
6/1/2024,39,Get In With Me,BossMan Dlow,30,24,7
6/1/2024,40,Cowgirls,Morgan Wallen Featuring ERNEST,43,40,2
6/1/2024,41,Million Dollar Baby,Tommy Richman,-,41,1
6/1/2024,42,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,38,36,10
6/1/2024,43,Sensational,Chris Brown Featuring Davido & Lojay,40,20,19
6/1/2024,44,Love You Again,Chase Matthew,45,44,5
6/1/2024,45,Soak City,310babii,41,21,18
6/1/2024,46,Chevrolet,Dustin Lynch Featuring Jelly Roll,49,46,2
6/1/2024,47,She's Somebody's Daughter (Reimagined),Drew Baldridge,50,47,2
6/1/2024,48,I'm Not Pretty,Megan Moroney,47,47,3
6/1/2024,49,II Most Wanted,Beyonce & Miley Cyrus,48,48,2
6/1/2024,50,Redrum,21 Savage,42,25,12
6/8/2024,1,Lose Control,Teddy Swims,1,1,25
6/8/2024,2,Beautiful Things,Benson Boone,2,2,15
6/8/2024,3,Saturn,SZA,3,3,11
6/8/2024,4,Too Sweet,Hozier,5,4,7
6/8/2024,5,I Had Some Help,Post Malone Featuring Morgan Wallen,9,5,4
6/8/2024,6,We Can't Be Friends (Wait For Your Love),Ariana Grande,4,4,10
6/8/2024,7,Feather,Sabrina Carpenter,7,5,21
6/8/2024,8,Fortnight,Taylor Swift Featuring Post Malone,10,8,6
6/8/2024,9,Agora Hills,Doja Cat,6,2,29
6/8/2024,10,Lovin On Me,Jack Harlow,8,1,28
6/8/2024,11,Where It Ends,Bailey Zimmerman,12,11,12
6/8/2024,12,Espresso,Sabrina Carpenter,19,12,5
6/8/2024,13,Like That,"Future, Metro Boomin & Kendrick Lamar",13,13,8
6/8/2024,14,Stick Season,Noah Kahan,11,9,16
6/8/2024,15,Halfway To Hell,Jelly Roll,15,15,11
6/8/2024,16,Greedy,Tate McRae,14,3,34
6/8/2024,17,Take Her Home,Kenny Chesney,17,17,13
6/8/2024,18,Outskirts,Sam Hunt,18,10,14
6/8/2024,19,Million Dollar Baby,Tommy Richman,41,19,2
6/8/2024,20,Made For Me,Muni Long,21,12,16
6/8/2024,21,Not Like Us,Kendrick Lamar,28,21,3
6/8/2024,22,A Bar Song (Tipsy),Shaboozey,37,22,2
6/8/2024,23,Tucson Too Late,Jordan Davis,20,13,16
6/8/2024,24,Your Place,Ashley Cooke,23,23,11
6/8/2024,25,Obsessed,Olivia Rodrigo,22,21,10
6/8/2024,26,Back Then Right Now,Tyler Hubbard,16,14,15
6/8/2024,27,Illusion,Dua Lipa,29,27,5
6/8/2024,28,Yeah Glo!,GloRilla,24,24,7
6/8/2024,29,Enough (Miami),Cardi B,25,25,7
6/8/2024,30,We Ride,Bryan Martin,31,30,9
6/8/2024,31,Bulletproof,Nate Smith,32,31,6
6/8/2024,32,Cowgirls,Morgan Wallen Featuring ERNEST,40,32,3
6/8/2024,33,Let Your Boys Be Country,Jason Aldean,30,28,10
6/8/2024,34,End Of Beginning,Djo,27,27,7
6/8/2024,35,Young Love & Saturday Nights,Chris Young,35,35,6
6/8/2024,36,Get It Sexyy,Sexyy Red,33,33,6
6/8/2024,37,Dirt Cheap,Cody Johnson,36,36,5
6/8/2024,38,Whatever She Wants,Bryson Tiller,38,38,4
6/8/2024,39,Lunch,Billie Eilish,26,26,2
6/8/2024,40,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,42,36,11
6/8/2024,41,Love You Again,Chase Matthew,44,41,6
6/8/2024,42,Get In With Me,BossMan Dlow,39,24,8
6/8/2024,43,Chevrolet,Dustin Lynch Featuring Jelly Roll,46,43,3
6/8/2024,44,She's Somebody's Daughter (Reimagined),Drew Baldridge,47,44,3
6/8/2024,45,I'm Not Pretty,Megan Moroney,48,45,4
6/8/2024,46,Sensational,Chris Brown Featuring Davido & Lojay,43,20,20
6/8/2024,47,II Most Wanted,Beyonce & Miley Cyrus,49,47,3
6/8/2024,48,A Symptom Of Being Human,Shinedown,-,46,3
6/8/2024,49,Ain't No Love In Oklahoma,Luke Combs,-,49,1
6/8/2024,50,Austin,Dasha,-,50,1
6/15/2024,1,Lose Control,Teddy Swims,1,1,26
6/15/2024,2,Too Sweet,Hozier,4,2,8
6/15/2024,3,Beautiful Things,Benson Boone,2,2,16
6/15/2024,4,Saturn,SZA,3,3,12
6/15/2024,5,I Had Some Help,Post Malone Featuring Morgan Wallen,5,5,5
6/15/2024,6,We Can't Be Friends (Wait For Your Love),Ariana Grande,6,4,11
6/15/2024,7,Fortnight,Taylor Swift Featuring Post Malone,8,7,7
6/15/2024,8,Feather,Sabrina Carpenter,7,5,22
6/15/2024,9,Agora Hills,Doja Cat,9,2,30
6/15/2024,10,Espresso,Sabrina Carpenter,12,10,6
6/15/2024,11,Lovin On Me,Jack Harlow,10,1,29
6/15/2024,12,Halfway To Hell,Jelly Roll,15,12,12
6/15/2024,13,Million Dollar Baby,Tommy Richman,19,13,3
6/15/2024,14,Where It Ends,Bailey Zimmerman,11,11,13
6/15/2024,15,Like That,"Future, Metro Boomin & Kendrick Lamar",13,13,9
6/15/2024,16,A Bar Song (Tipsy),Shaboozey,22,16,3
6/15/2024,17,Not Like Us,Kendrick Lamar,21,17,4
6/15/2024,18,Take Her Home,Kenny Chesney,17,17,14
6/15/2024,19,Greedy,Tate McRae,16,3,35
6/15/2024,20,Your Place,Ashley Cooke,24,20,12
6/15/2024,21,Made For Me,Muni Long,20,12,17
6/15/2024,22,Outskirts,Sam Hunt,18,10,15
6/15/2024,23,Illusion,Dua Lipa,27,23,6
6/15/2024,24,Enough (Miami),Cardi B,29,24,8
6/15/2024,25,Yeah Glo!,GloRilla,28,24,8
6/15/2024,26,Cowgirls,Morgan Wallen Featuring ERNEST,32,26,4
6/15/2024,27,Stick Season,Noah Kahan,14,9,17
6/15/2024,28,We Ride,Bryan Martin,30,28,10
6/15/2024,29,End Of Beginning,Djo,34,27,8
6/15/2024,30,Tucson Too Late,Jordan Davis,23,13,17
6/15/2024,31,Bulletproof,Nate Smith,31,31,7
6/15/2024,32,Let Your Boys Be Country,Jason Aldean,33,28,11
6/15/2024,33,Lunch,Billie Eilish,39,26,3
6/15/2024,34,Back Then Right Now,Tyler Hubbard,26,14,16
6/15/2024,35,Young Love & Saturday Nights,Chris Young,35,35,7
6/15/2024,36,Obsessed,Olivia Rodrigo,25,21,11
6/15/2024,37,Get It Sexyy,Sexyy Red,36,33,7
6/15/2024,38,Dirt Cheap,Cody Johnson,37,36,6
6/15/2024,39,Whatever She Wants,Bryson Tiller,38,38,5
6/15/2024,40,We Don't Fight Anymore,Carly Pearce Featuring Chris Stapleton,40,36,12
6/15/2024,41,Love You Again,Chase Matthew,41,41,7
6/15/2024,42,She's Somebody's Daughter (Reimagined),Drew Baldridge,44,42,4
6/15/2024,43,Ain't No Love In Oklahoma,Luke Combs,49,43,2
6/15/2024,44,Chevrolet,Dustin Lynch Featuring Jelly Roll,43,43,4
6/15/2024,45,I'm Not Pretty,Megan Moroney,45,45,5
6/15/2024,46,Get In With Me,BossMan Dlow,42,24,9
6/15/2024,47,Austin,Dasha,50,47,2
6/15/2024,48,Sensational,Chris Brown Featuring Davido & Lojay,46,20,21
6/15/2024,49,A Symptom Of Being Human,Shinedown,48,46,4
6/15/2024,50,After Hours,Kehlani,-,50,1
6/22/2024,1,Too Sweet,Hozier,2,1,9
6/22/2024,2,Lose Control,Teddy Swims,1,1,27
6/22/2024,3,I Had Some Help,Post Malone Featuring Morgan Wallen,5,3,6
6/22/2024,4,Beautiful Things,Benson Boone,3,2,17
6/22/2024,5,Saturn,SZA,4,3,13
6/22/2024,6,Espresso,Sabrina Carpenter,10,6,7
6/22/2024,7,Million Dollar Baby,Tommy Richman,13,7,4
6/22/2024,8,Fortnight,Taylor Swift Featuring Post Malone,7,7,8
6/22/2024,9,We Can't Be Friends (Wait For Your Love),Ariana Grande,6,4,12
6/22/2024,10,Feather,Sabrina Carpenter,8,5,23
6/22/2024,11,Agora Hills,Doja Cat,9,2,31
6/22/2024,12,A Bar Song (Tipsy),Shaboozey,16,12,4
6/22/2024,13,Not Like Us,Kendrick Lamar,17,13,5
6/22/2024,14,Lovin On Me,Jack Harlow,11,1,30
6/22/2024,15,Take Her Home,Kenny Chesney,18,15,15
6/22/2024,16,Where It Ends,Bailey Zimmerman,14,11,14
6/22/2024,17,Like That,"Future, Metro Boomin & Kendrick Lamar",15,13,10
6/22/2024,18,Halfway To Hell,Jelly Roll,12,12,13
6/22/2024,19,Greedy,Tate McRae,19,3,36
6/22/2024,20,Your Place,Ashley Cooke,20,20,13
6/22/2024,21,Illusion,Dua Lipa,23,21,7
6/22/2024,22,Cowgirls,Morgan Wallen Featuring ERNEST,26,22,5
6/22/2024,23,Made For Me,Muni Long,21,12,18
6/22/2024,24,We Ride,Bryan Martin,28,24,11
6/22/2024,25,Outskirts,Sam Hunt,22,10,16
6/22/2024,26,End Of Beginning,Djo,29,26,9
6/22/2024,27,Yeah Glo!,GloRilla,25,24,9
6/22/2024,28,Lunch,Billie Eilish,33,26,4
6/22/2024,29,Bulletproof,Nate Smith,31,29,8
6/22/2024,30,Let Your Boys Be Country,Jason Aldean,32,28,12
