date,rank,track,artist,sales_last_week,sales_peak,sales_woc
1/27/2024,11,Save Me,Jelly Roll With Lainey Wilson,9,6,36
1/27/2024,12,White Horse,Chris Stapleton,11,5,25
1/27/2024,13,What Was I Made For?,Billie Eilish,4,4,18
1/27/2024,14,Houdini,Dua Lipa,14,3,7
1/27/2024,15,Where The Wild Things Are,Luke Combs,13,13,4
1/27/2024,16,Live Like You Were Dying,Tim McGraw,10,10,14
1/27/2024,17,Super Bon Bon,Soul Coughing,-,17,1
1/27/2024,18,Cruel Summer,Taylor Swift,21,1,29
1/27/2024,19,FTCU,Nicki Minaj,1,1,4
1/27/2024,20,Thinkin' Bout Me,Morgan Wallen,16,4,41
1/27/2024,21,J Christ,Lil Nas X,-,21,1
1/27/2024,22,Water,Tyla,20,10,12
1/27/2024,23,Dance The Night,Dua Lipa,19,5,25
1/27/2024,24,Stick Season,Noah Kahan,-,24,1
1/27/2024,25,Paint The Town Red,Doja Cat,18,1,22
2/3/2024,1,Lose Control,Teddy Swims,3,1,28
2/3/2024,2,Beautiful Things,Benson Boone,-,2,1
2/3/2024,3,Lovin On Me,Jack Harlow,2,1,11
2/3/2024,4,Standing Next To You,Jung Kook,4,1,12
2/3/2024,5,Selfish,Justin Timberlake,-,5,1
2/3/2024,6,Soak City,310babii,-,6,1
2/3/2024,7,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,5,4,22
2/3/2024,8,Made For Me,Muni Long,-,8,1
2/3/2024,9,Murder On The Dancefloor,Sophie Ellis-Bextor,7,7,4
2/3/2024,10,Lil Boo Thang,Paul Russell,6,2,23
2/3/2024,11,Dance You Outta My Head,Cat Janice,-,11,1
2/3/2024,12,Whatever,Kygo With Ava Max,-,12,1
2/3/2024,13,White Horse,Chris Stapleton,12,5,26
2/3/2024,14,"Yes, And?",Ariana Grande,1,1,2
2/3/2024,15,Where The Wild Things Are,Luke Combs,15,13,5
2/3/2024,16,Danger,BTS,-,16,1
2/3/2024,17,Save Me,Jelly Roll With Lainey Wilson,11,6,37
2/3/2024,18,What Was I Made For?,Billie Eilish,13,4,19
2/3/2024,19,Houdini,Dua Lipa,14,3,8
2/3/2024,20,Skin And Bones,David Kushner,-,20,1
2/3/2024,21,Live Like You Were Dying,Tim McGraw,16,10,15
2/3/2024,22,Need A Favor,Jelly Roll,10,2,46
2/3/2024,23,No Caller ID,Megan Moroney,-,23,1
2/3/2024,24,Cruel Summer,Taylor Swift,18,1,30
2/3/2024,25,Surround Sound,JID Featuring 21 Savage & Baby Tate,-,25,1
2/10/2024,1,Hiss,Megan Thee Stallion,-,1,1
