rank,artist,track,am_last_week,am_peak,am_woc,date
1,Mariah Carey,All I Want For Christmas Is You,2,1,35,12/18/2023
2,Nicki Minaj,FTCU,3,2,3,12/18/2023
3,Jack Harlow,Lovin On Me,4,1,7,12/18/2023
4,Bobby Helms,Jingle Bell Rock (Single Version),6,4,25,12/18/2023
5,Nicki Minaj,Everybody (feat. Lil Uzi Vert),1,1,3,12/18/2023
6,Brenda Lee,Rockin' Around the Christmas Tree (Single Version),10,6,18,12/18/2023
7,Kelly Clarkson,Underneath the Tree,12,6,21,12/18/2023
8,Michael Bublé,It's Beginning To Look a Lot Like Christmas,13,6,26,12/18/2023
9,Ariana Grande,Santa Tell Me,17,8,21,12/18/2023
10,SZA,Snooze,7,3,55,12/18/2023
11,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),8,2,12,12/18/2023
12,Andy Williams,It's the Most Wonderful Time of the Year,22,10,21,12/18/2023
13,ディーン・マーティン,レット・イット・スノウ,30,13,13,12/18/2023
14,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),18,1,18,12/18/2023
15,Burl Ives,A Holly Jolly Christmas,28,15,13,12/18/2023
16,Lil Baby,Freestyle,19,6,75,12/18/2023
17,Morgan Wallen,Last Night,23,1,47,12/18/2023
18,The Ronettes,Sleigh Ride,37,18,14,12/18/2023
19,Chuck Berry,Run Rudolph Run,38,19,12,12/18/2023
20,Darlene Love,Christmas (Baby Please Come Home),43,20,14,12/18/2023
21,Drake,IDGAF (feat. Yeat),16,1,12,12/18/2023
22,Drake,First Person Shooter (feat. J. Cole),24,2,12,12/18/2023
23,Nicki Minaj,Needle (feat. Drake),5,5,3,12/18/2023
24,ジャスティン・ビーバー,君とホワイト・キス,44,18,21,12/18/2023
25,José Feliciano,Feliz Navidad,49,25,14,12/18/2023
26,Rod Wave,Great Gatsby,26,1,15,12/18/2023
27,Doja Cat,Agora Hills,27,13,13,12/18/2023
28,Drake,You Broke My Heart,31,1,6,12/18/2023
29,Wham!,Last Christmas (Single Version),54,17,10,12/18/2023
30,Lil Baby,Crazy,79,30,2,12/18/2023
31,Drake,Virginia Beach,29,3,12,12/18/2023
32,Drake,Best I Ever Had,35,13,38,12/18/2023
33,Morgan Wallen,Thinkin’ Bout Me,34,2,43,12/18/2023
34,The Beach Boys,Little Saint Nick,63,34,8,12/18/2023
35,Tate McRae,greedy,25,25,14,12/18/2023
36,Peso Pluma & Anitta,BELLAKEO,88,34,2,12/18/2023
37,Nicki Minaj,Let Me Calm Down (feat. J. Cole),9,9,3,12/18/2023
38,Noah Kahan,Stick Season,51,11,8,12/18/2023
39,Gunna,fukumean,42,1,28,12/18/2023
40,Nicki Minaj,Fallin 4 U,15,15,3,12/18/2023
41,Jonas Brothers,Like It's Christmas,83,26,7,12/18/2023
42,Lil Baby,Sum 2 Prove,41,4,120,12/18/2023
43,Nicki Minaj,Barbie Dangerous,11,11,3,12/18/2023
44,Eartha Kitt,Santa Baby,84,44,7,12/18/2023
45,Wham!,Last Christmas (Remastered),82,13,17,12/18/2023
46,Future,WAIT FOR U (feat. Drake & Tems),48,1,87,12/18/2023
47,Drake,Slime You Out (feat. SZA),39,1,15,12/18/2023
48,Taylor Swift,Cruel Summer,45,7,36,12/18/2023
49,Lil Baby,Low Down,46,6,67,12/18/2023
50,"Nat ""King"" Cole",Deck the Hall,93,47,7,12/18/2023
51,Paul McCartney,Wonderful Christmastime (Edited Version),94,51,5,12/18/2023
52,Future,Low Life (feat. The Weeknd),53,25,20,12/18/2023
53,Nicki Minaj,Beep Beep,21,21,3,12/18/2023
54,Bing Crosby,White Christmas (feat. Ken Darby Singers & John Scott Trotter and His Orchestra),86,54,9,12/18/2023
55,Elton John,Step Into Christmas,97,55,4,12/18/2023
56,Luke Combs,Fast Car,62,5,40,12/18/2023
57,SZA,Kill Bill,55,1,55,12/18/2023
58,Doja Cat,Paint The Town Red,58,2,21,12/18/2023
59,Future,Mask Off,61,30,47,12/18/2023
60,Bad Bunny,MONACO,59,5,11,12/18/2023
61,Rod Wave,Turks & Caicos,56,3,15,12/18/2023
62,Future,Stick Talk,67,32,16,12/18/2023
63,Xavi,La Diabla,-,8,1,12/18/2023
64,Morgan Wallen,Chasin' You,68,20,95,12/18/2023
65,"Calle 24, Chino Pacas & Fuerza Regida",Que Onda,64,36,16,12/18/2023
66,Nicki Minaj,Pink Friday Girls,33,33,3,12/18/2023
67,Nicki Minaj,Are You Gone Already,14,14,3,12/18/2023
68,Nicki Minaj,Big Difference,20,20,3,12/18/2023
69,Lil Baby,Woah,65,1,60,12/18/2023
70,Donny Hathaway,This Christmas,-,57,5,12/18/2023
71,Lil Baby,350,92,71,2,12/18/2023
72,Fuerza Regida & Marshmello,HARLEY QUINN,60,14,8,12/18/2023
73,Eagles,Please Come Home for Christmas,95,49,5,12/18/2023
74,Olivia Rodrigo,vampire,70,2,26,12/18/2023
75,Frank Sinatra,Santa Claus Is Comin' to Town,99,48,6,12/18/2023
76,Nicki Minaj,Red Ruby Da Sleeze,40,21,11,12/18/2023
77,Tate McRae,exes,50,50,4,12/18/2023
78,SZA,Good Days,73,1,65,12/18/2023
79,Drake,Nonstop,76,37,17,12/18/2023
80,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),-,67,4,12/18/2023
81,Sia,Snowman,-,72,3,12/18/2023
82,Xavi,La Víctima,-,30,1,12/18/2023
83,Nicki Minaj,RNB (feat. Lil Wayne & Tate Kobang),32,32,3,12/18/2023
84,Future,March Madness,77,28,15,12/18/2023
85,The Red Clay Strays,Wondering Why,-,71,1,12/18/2023
86,"Peso Pluma, Gabito Ballesteros & Junior H",LADY GAGA,66,14,27,12/18/2023
87,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas),-,67,3,12/18/2023
88,Frank Sinatra,Jingle Bells,-,70,1,12/18/2023
89,Gene Autry,Up On the Housetop,-,76,4,12/18/2023
90,Nicki Minaj,Pink Birthday,36,36,3,12/18/2023
91,Morgan Wallen,You Proof,98,6,84,12/18/2023
92,J. Cole,Power Trip (feat. Miguel),75,38,40,12/18/2023
93,Stevie Wonder,What Christmas Means to Me,-,42,4,12/18/2023
94,Perry Como,(There's No Place Like) Home for the Holidays,-,79,4,12/18/2023
95,ナット・キング・コール,ザ・クリスマス・ソング (Remastered 1999),-,26,4,12/18/2023
96,Pentatonix,"Mary, Did You Know?",-,82,2,12/18/2023
97,Elvis Presley,Blue Christmas,96,69,7,12/18/2023
98,Nicki Minaj,Cowgirl (feat. Lourdiz),47,47,3,12/18/2023
99,Future,Life Is Good (feat. Drake),78,2,73,12/18/2023
100,Kelly Clarkson & Brett Eldredge,Under The Mistletoe,-,69,4,12/18/2023
1,Jack Harlow,Lovin On Me,3,1,8,12/25/2023
2,Mariah Carey,All I Want For Christmas Is You,1,1,36,12/25/2023
3,Nicki Minaj,FTCU,2,2,4,12/25/2023
4,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),11,2,13,12/25/2023
5,Nicki Minaj,Everybody (feat. Lil Uzi Vert),5,1,4,12/25/2023
6,SZA,Snooze,10,3,56,12/25/2023
7,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),14,1,19,12/25/2023
8,Morgan Wallen,Last Night,17,1,48,12/25/2023
9,Bobby Helms,Jingle Bell Rock (Single Version),4,4,26,12/25/2023
10,Lil Baby,Freestyle,16,6,76,12/25/2023
11,Brenda Lee,Rockin' Around the Christmas Tree (Single Version),6,6,19,12/25/2023
12,Drake,First Person Shooter (feat. J. Cole),22,2,13,12/25/2023
13,Drake,IDGAF (feat. Yeat),21,1,13,12/25/2023
14,Drake,You Broke My Heart,28,1,7,12/25/2023
15,Ariana Grande,Santa Tell Me,9,8,22,12/25/2023
16,Noah Kahan,Stick Season,38,11,9,12/25/2023
17,Xavi,La Diabla,63,8,2,12/25/2023
18,Michael Bublé,It's Beginning To Look a Lot Like Christmas,8,6,27,12/25/2023
19,Morgan Wallen,Thinkin’ Bout Me,33,2,44,12/25/2023
20,Rod Wave,Great Gatsby,26,1,16,12/25/2023
21,Kelly Clarkson,Underneath the Tree,7,6,22,12/25/2023
22,Taylor Swift,Cruel Summer,48,7,37,12/25/2023
23,Doja Cat,Agora Hills,27,13,14,12/25/2023
24,Drake,Best I Ever Had,32,13,39,12/25/2023
25,Drake,Virginia Beach,31,3,13,12/25/2023
26,Gunna,fukumean,39,1,29,12/25/2023
27,Andy Williams,It's the Most Wonderful Time of the Year,12,10,22,12/25/2023
28,ディーン・マーティン,レット・イット・スノウ,13,13,14,12/25/2023
29,Burl Ives,A Holly Jolly Christmas,15,15,14,12/25/2023
30,José Feliciano,Feliz Navidad,25,25,15,12/25/2023
31,Tate McRae,greedy,35,25,15,12/25/2023
32,Lil Baby,Sum 2 Prove,42,4,121,12/25/2023
33,Luke Combs,Fast Car,56,5,41,12/25/2023
34,Chuck Berry,Run Rudolph Run,19,19,13,12/25/2023
35,The Ronettes,Sleigh Ride,18,18,15,12/25/2023
36,Future,WAIT FOR U (feat. Drake & Tems),46,1,88,12/25/2023
37,Darlene Love,Christmas (Baby Please Come Home),20,20,15,12/25/2023
38,Lil Baby,Low Down,49,6,68,12/25/2023
39,SZA,Kill Bill,57,1,56,12/25/2023
40,Drake,Slime You Out (feat. SZA),47,1,16,12/25/2023
41,Peso Pluma & Anitta,BELLAKEO,36,34,3,12/25/2023
42,Future,Low Life (feat. The Weeknd),52,25,21,12/25/2023
43,Doja Cat,Paint The Town Red,58,2,22,12/25/2023
44,Morgan Wallen,Chasin' You,64,20,96,12/25/2023
45,ジャスティン・ビーバー,君とホワイト・キス,24,18,22,12/25/2023
46,Nicki Minaj,Needle (feat. Drake),23,5,4,12/25/2023
47,The Beach Boys,Little Saint Nick,34,34,9,12/25/2023
48,Bad Bunny,MONACO,60,5,12,12/25/2023
49,Wham!,Last Christmas (Single Version),29,17,11,12/25/2023
50,Future,Mask Off,59,30,48,12/25/2023
51,Xavi,La Víctima,82,30,2,12/25/2023
52,Eartha Kitt,Santa Baby,44,44,8,12/25/2023
53,Olivia Rodrigo,vampire,74,2,27,12/25/2023
54,Wham!,Last Christmas (Remastered),45,13,18,12/25/2023
55,Morgan Wallen,You Proof,91,6,85,12/25/2023
56,Future,Stick Talk,62,32,17,12/25/2023
57,Donny Hathaway,This Christmas,70,57,6,12/25/2023
58,"Nat ""King"" Cole",Deck the Hall,50,47,8,12/25/2023
59,Lil Baby,Woah,69,1,61,12/25/2023
60,Bing Crosby,White Christmas (feat. Ken Darby Singers & John Scott Trotter and His Orchestra),54,54,10,12/25/2023
61,"Calle 24, Chino Pacas & Fuerza Regida",Que Onda,65,36,17,12/25/2023
62,Paul McCartney,Wonderful Christmastime (Edited Version),51,51,6,12/25/2023
63,Elton John,Step Into Christmas,55,55,5,12/25/2023
64,Morgan Wallen,Wasted on You,-,3,108,12/25/2023
65,Frank Sinatra,Santa Claus Is Comin' to Town,75,48,7,12/25/2023
66,Jonas Brothers,Like It's Christmas,41,26,8,12/25/2023
67,Bing Crosby & The Andrews Sisters,Mele Kalikimaka (Merry Christmas),87,67,4,12/25/2023
68,Chris Stapleton,Tennessee Whiskey,-,51,19,12/25/2023
69,Stevie Wonder,What Christmas Means to Me,93,42,5,12/25/2023
70,Eagles,Please Come Home for Christmas,73,49,6,12/25/2023
71,Gwen Stefani,You Make It Feel Like Christmas (feat. Blake Shelton),80,67,5,12/25/2023
72,Sia,Snowman,81,72,4,12/25/2023
73,Tyla,Water,-,23,13,12/25/2023
74,Future,March Madness,84,28,16,12/25/2023
75,J. Cole,Power Trip (feat. Miguel),92,38,41,12/25/2023
76,Drake,Nonstop,79,37,18,12/25/2023
77,Rod Wave,Turks & Caicos,61,3,16,12/25/2023
78,SZA,Good Days,78,1,66,12/25/2023
79,Frank Sinatra,Jingle Bells,88,70,2,12/25/2023
80,Gene Autry,Up On the Housetop,89,76,5,12/25/2023
81,Perry Como,(There's No Place Like) Home for the Holidays,94,79,5,12/25/2023
82,Elvis Presley,Blue Christmas,97,69,8,12/25/2023
83,ナット・キング・コール,ザ・クリスマス・ソング (Remastered 1999),95,26,5,12/25/2023
84,Whitney Houston,Do You Hear What I Hear?,-,84,1,12/25/2023
85,Fuerza Regida & Marshmello,HARLEY QUINN,72,14,9,12/25/2023
86,Lil Durk,All My Life (feat. J. Cole),-,1,32,12/25/2023
87,YoungBoy Never Broke Again,Kacey Talk,-,8,49,12/25/2023
88,Stevie Wonder,Someday At Christmas,-,44,4,12/25/2023
89,Doris Day,Here Comes Santa Claus (Down Santa Claus Lane),-,87,2,12/25/2023
90,Andy Williams,Happy Holiday / The Holiday Season,-,90,1,12/25/2023
91,ジョン・レノン & オノ・ヨーコ,Happy Xmas (War Is Over) [Ultimate Mix],-,74,3,12/25/2023
92,Taylor Swift,Christmas Tree Farm,-,92,1,12/25/2023
93,Kelly Clarkson & Brett Eldredge,Under The Mistletoe,100,69,5,12/25/2023
94,John Legend,What Christmas Means to Me (feat. Stevie Wonder),-,65,2,12/25/2023
95,Zach Bryan,Something in the Orange,-,10,81,12/25/2023
96,Dan + Shay,Officially Christmas,-,89,1,12/25/2023
97,Pentatonix,"Mary, Did You Know?",96,82,3,12/25/2023
98,Michael Bublé,Silver Bells (feat. Naturally 7),-,94,2,12/25/2023
99,Katy Perry,Cozy Little Christmas,-,97,1,12/25/2023
100,Lil Baby,Crazy,30,30,3,12/25/2023
1,Jack Harlow,Lovin On Me,1,1,9,1/1/2024
2,Nicki Minaj,FTCU,3,2,5,1/1/2024
3,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),4,2,14,1/1/2024
4,SZA,Snooze,6,3,57,1/1/2024
5,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),7,1,20,1/1/2024
6,Nicki Minaj,Everybody (feat. Lil Uzi Vert),5,1,5,1/1/2024
7,Morgan Wallen,Last Night,8,1,49,1/1/2024
8,Lil Baby,Freestyle,10,6,77,1/1/2024
9,Xavi,La Diabla,17,8,3,1/1/2024
10,Drake,You Broke My Heart,14,1,8,1/1/2024
11,Drake,First Person Shooter (feat. J. Cole),12,2,14,1/1/2024
12,Morgan Wallen,Thinkin’ Bout Me,19,2,45,1/1/2024
13,Noah Kahan,Stick Season,16,11,10,1/1/2024
14,Drake,IDGAF (feat. Yeat),13,1,14,1/1/2024
15,Taylor Swift,Cruel Summer,22,7,38,1/1/2024
16,Drake,Best I Ever Had,24,13,40,1/1/2024
17,Doja Cat,Agora Hills,23,13,15,1/1/2024
18,Gunna,fukumean,26,1,30,1/1/2024
19,Drake,Virginia Beach,25,3,14,1/1/2024
20,Rod Wave,Great Gatsby,20,1,17,1/1/2024
21,Lil Baby,Sum 2 Prove,32,4,122,1/1/2024
22,Luke Combs,Fast Car,33,5,42,1/1/2024
23,Future,WAIT FOR U (feat. Drake & Tems),36,1,89,1/1/2024
24,Lil Baby,Low Down,38,6,69,1/1/2024
25,Tate McRae,greedy,31,25,16,1/1/2024
26,SZA,Kill Bill,39,1,57,1/1/2024
27,Future,Low Life (feat. The Weeknd),42,25,22,1/1/2024
28,Drake,Slime You Out (feat. SZA),40,1,17,1/1/2024
29,Doja Cat,Paint The Town Red,43,2,23,1/1/2024
30,Future,Mask Off,50,30,49,1/1/2024
31,Morgan Wallen,Chasin' You,44,20,97,1/1/2024
32,Future,Stick Talk,56,32,18,1/1/2024
33,Xavi,La Víctima,51,30,3,1/1/2024
34,Peso Pluma & Anitta,BELLAKEO,41,34,4,1/1/2024
35,Lil Baby,Woah,59,1,62,1/1/2024
36,Flo Milli,Never Lose Me,-,14,1,1/1/2024
37,"Calle 24, Chino Pacas & Fuerza Regida",Que Onda,61,36,18,1/1/2024
38,Tyla,Water,73,23,14,1/1/2024
39,Bad Bunny,MONACO,48,5,13,1/1/2024
40,Olivia Rodrigo,vampire,53,2,28,1/1/2024
41,Morgan Wallen,You Proof,55,6,86,1/1/2024
42,SZA,Good Days,78,1,67,1/1/2024
43,Future,March Madness,74,28,17,1/1/2024
44,Drake,Nonstop,76,37,19,1/1/2024
45,J. Cole,Power Trip (feat. Miguel),75,38,42,1/1/2024
46,Fuerza Regida & Marshmello,HARLEY QUINN,85,14,10,1/1/2024
47,Nicki Minaj,Needle (feat. Drake),46,5,5,1/1/2024
48,Lil Durk,All My Life (feat. J. Cole),86,1,33,1/1/2024
49,Morgan Wallen,Wasted on You,64,3,109,1/1/2024
50,YoungBoy Never Broke Again,Kacey Talk,87,8,50,1/1/2024
51,Future,Life Is Good (feat. Drake),-,2,74,1/1/2024
52,Zach Bryan,Something in the Orange,95,10,82,1/1/2024
53,Chris Stapleton,Tennessee Whiskey,68,51,20,1/1/2024
54,Rod Wave,Turks & Caicos,77,3,17,1/1/2024
55,Drake,Wants and Needs (feat. Lil Baby),-,1,107,1/1/2024
56,Travis Scott,HIGHEST IN THE ROOM,-,1,23,1/1/2024
57,Chris Brown,Under the Influence,-,1,61,1/1/2024
58,Drake,God's Plan,-,49,6,1/1/2024
59,Jelly Roll,Save Me,-,59,6,1/1/2024
60,Drake,Passionfruit,-,48,7,1/1/2024
61,Travis Scott,I KNOW ?,-,3,22,1/1/2024
62,Chris Brown,No Guidance (feat. Drake),-,5,74,1/1/2024
63,YoungBoy Never Broke Again,Valuable Pain,-,57,2,1/1/2024
64,Future,PUFFIN ON ZOOTIEZ,-,2,64,1/1/2024
65,Teddy Swims,Lose Control,-,15,1,1/1/2024
66,Drake,Knife Talk (feat. 21 Savage & Project Pat),-,2,78,1/1/2024
67,Travis Scott,MELTDOWN,-,1,21,1/1/2024
68,Kodak Black,No Flockin,-,47,17,1/1/2024
69,"Peso Pluma, Gabito Ballesteros & Junior H",LADY GAGA,-,14,28,1/1/2024
70,Taylor Swift,Is It Over Now? (Taylor's Version) [From The Vault],-,3,9,1/1/2024
71,The Red Clay Strays,Wondering Why,-,71,2,1/1/2024
72,Jhené Aiko,Sativa (feat. Swae Lee),-,56,2,1/1/2024
73,BigXthaPlug,Mmhmm,-,47,1,1/1/2024
74,Chris Stapleton,White Horse,-,31,5,1/1/2024
75,Taylor Swift,Lover,-,57,5,1/1/2024
76,Luke Combs,Beautiful Crazy,-,50,16,1/1/2024
77,Zach Bryan,Hey Driver (feat. The War and Treaty),-,2,10,1/1/2024
78,Zach Bryan,Oklahoma Smokeshow,-,38,10,1/1/2024
79,Drake,Nice For What,-,67,1,1/1/2024
80,Future & Lil Uzi Vert,Drankin N Smokin,-,1,64,1/1/2024
81,Lil Tecca,500lbs,-,35,12,1/1/2024
82,Tate McRae,exes,-,50,5,1/1/2024
83,Luis R Conriquez & Peso Pluma,Pixelados,-,83,1,1/1/2024
84,Lil Baby,Crazy,100,30,4,1/1/2024
85,Morgan Wallen,Man Made A Bar (feat. Eric Church),-,5,20,1/1/2024
86,Travis Scott,FE!N,-,2,11,1/1/2024
87,J. Cole,No Role Modelz,-,35,64,1/1/2024
88,Usher,Yeah! (feat. Lil Jon & Ludacris),-,12,1,1/1/2024
89,Eslabon Armado & Peso Pluma,Ella Baila Sola,-,1,31,1/1/2024
90,"Peso Pluma, Junior H & Óscar Maydon",Rompe La Dompe,-,90,1,1/1/2024
91,Bad Bunny,Tití Me Preguntó,-,3,62,1/1/2024
92,Lil Wayne,Love Me (feat. Drake & Future),-,92,1,1/1/2024
93,Travis Scott,MY EYES,-,7,8,1/1/2024
94,Zach Bryan,"Burn, Burn, Burn",-,43,13,1/1/2024
95,Sexyy Red,Bow Bow Bow (F My Baby Dad),-,95,1,1/1/2024
96,Drake & 21 Savage,Spin Bout U,-,2,51,1/1/2024
97,Summer Walker,Karma,-,31,47,1/1/2024
98,SZA,Nobody Gets Me,-,3,24,1/1/2024
99,Lil Baby,In A Minute,-,2,71,1/1/2024
100,Rod Wave,Come See Me,-,5,17,1/1/2024
1,Jack Harlow,Lovin On Me,1,1,10,1/8/2024
2,Nicki Minaj,FTCU,2,2,6,1/8/2024
3,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),3,2,15,1/8/2024
4,SZA,Snooze,4,3,58,1/8/2024
5,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),5,1,21,1/8/2024
6,Lil Baby,Freestyle,8,6,78,1/8/2024
7,Morgan Wallen,Last Night,7,1,50,1/8/2024
8,Xavi,La Diabla,9,8,4,1/8/2024
9,Nicki Minaj,Everybody (feat. Lil Uzi Vert),6,1,6,1/8/2024
10,Drake,You Broke My Heart,10,1,9,1/8/2024
11,Drake,First Person Shooter (feat. J. Cole),11,2,15,1/8/2024
12,Noah Kahan,Stick Season,13,11,11,1/8/2024
13,Drake,Best I Ever Had,16,13,41,1/8/2024
14,Morgan Wallen,Thinkin’ Bout Me,12,2,46,1/8/2024
15,Doja Cat,Agora Hills,17,13,16,1/8/2024
16,Taylor Swift,Cruel Summer,15,7,39,1/8/2024
17,Drake,IDGAF (feat. Yeat),14,1,15,1/8/2024
18,Lil Baby,Sum 2 Prove,21,4,123,1/8/2024
19,Drake,Virginia Beach,19,3,15,1/8/2024
20,Future,WAIT FOR U (feat. Drake & Tems),23,1,90,1/8/2024
21,Lil Baby,Low Down,24,6,70,1/8/2024
22,Drake,Slime You Out (feat. SZA),28,1,18,1/8/2024
23,Gunna,fukumean,18,1,31,1/8/2024
24,Luke Combs,Fast Car,22,5,43,1/8/2024
25,Future,Low Life (feat. The Weeknd),27,25,23,1/8/2024
26,Flo Milli,Never Lose Me,36,14,2,1/8/2024
27,21 Savage,redrum,-,1,1,1/8/2024
28,21 Savage,all of me,-,3,1,1/8/2024
29,Rod Wave,Great Gatsby,20,1,18,1/8/2024
30,Xavi,La Víctima,33,30,4,1/8/2024
31,Tate McRae,greedy,25,25,17,1/8/2024
32,Future,Mask Off,30,30,50,1/8/2024
33,SZA,Kill Bill,26,1,58,1/8/2024
34,Future,Stick Talk,32,32,19,1/8/2024
35,Morgan Wallen,Chasin' You,31,20,98,1/8/2024
36,"Calle 24, Chino Pacas & Fuerza Regida",Que Onda,37,36,19,1/8/2024
37,Lil Baby,Woah,35,1,63,1/8/2024
38,SZA,Good Days,42,1,68,1/8/2024
39,J. Cole,Power Trip (feat. Miguel),45,38,43,1/8/2024
40,Drake,Nonstop,44,37,20,1/8/2024
41,Fuerza Regida & Marshmello,HARLEY QUINN,46,14,11,1/8/2024
42,Peso Pluma & Anitta,BELLAKEO,34,34,5,1/8/2024
43,Future,March Madness,43,28,18,1/8/2024
44,Doja Cat,Paint The Town Red,29,2,24,1/8/2024
45,Teddy Swims,Lose Control,65,15,2,1/8/2024
46,YoungBoy Never Broke Again,Kacey Talk,50,8,51,1/8/2024
47,Olivia Rodrigo,vampire,40,2,29,1/8/2024
48,"21 Savage, Travis Scott & Metro Boomin",née-nah,-,2,1,1/8/2024
49,Morgan Wallen,You Proof,41,6,87,1/8/2024
50,Future,Life Is Good (feat. Drake),51,2,75,1/8/2024
51,Morgan Wallen,Wasted on You,49,3,110,1/8/2024
52,"21 Savage, Young Thug & Metro Boomin",pop ur shit,-,10,1,1/8/2024
53,Tyla,Water,38,23,15,1/8/2024
54,Travis Scott,HIGHEST IN THE ROOM,56,1,24,1/8/2024
55,Drake,Wants and Needs (feat. Lil Baby),55,1,108,1/8/2024
56,Drake,God's Plan,58,49,7,1/8/2024
57,YoungBoy Never Broke Again,Valuable Pain,63,57,3,1/8/2024
58,21 Savage & Doja Cat,n.h.i.e.,-,6,1,1/8/2024
59,Drake,Passionfruit,60,48,8,1/8/2024
60,4batz,act ii: date @ 8,-,27,1,1/8/2024
61,21 Savage,sneaky,-,8,1,1/8/2024
62,"21 Savage, Lil Durk & Metro Boomin",dangerous,-,11,1,1/8/2024
63,Zach Bryan,Something in the Orange,52,10,83,1/8/2024
64,Chris Stapleton,Tennessee Whiskey,53,51,21,1/8/2024
65,Ariana Grande,"yes, and?",-,15,1,1/8/2024
66,Drake,Knife Talk (feat. 21 Savage & Project Pat),66,2,79,1/8/2024
67,21 Savage & Brent Faiyaz,should've wore a bonnet,-,7,1,1/8/2024
68,21 Savage & Summer Walker,prove it,-,5,1,1/8/2024
69,Bad Bunny,MONACO,39,5,14,1/8/2024
70,21 Savage,letter to my brudda,-,23,1,1/8/2024
71,21 Savage,american dream,-,71,1,1/8/2024
72,Jhené Aiko,Sativa (feat. Swae Lee),72,56,3,1/8/2024
73,Travis Scott,I KNOW ?,61,3,23,1/8/2024
74,21 Savage,see the real,-,28,1,1/8/2024
75,Chris Brown,No Guidance (feat. Drake),62,5,75,1/8/2024
76,Future,PUFFIN ON ZOOTIEZ,64,2,65,1/8/2024
77,Rod Wave,Turks & Caicos,54,3,18,1/8/2024
78,Lil Durk,All My Life (feat. J. Cole),48,1,34,1/8/2024
79,Chris Brown,Under the Influence,57,1,62,1/8/2024
80,Kodak Black,No Flockin,68,47,18,1/8/2024
81,BigXthaPlug,Mmhmm,73,47,2,1/8/2024
82,21 Savage,red sky,-,21,1,1/8/2024
83,Luke Combs,Beautiful Crazy,76,50,17,1/8/2024
84,Drake,Nice For What,79,67,2,1/8/2024
85,"21 Savage, Burna Boy & Metro Boomin",just like me,-,30,1,1/8/2024
86,21 Savage & Mariah the Scientist,dark days,-,29,1,1/8/2024
87,Travis Scott,MY EYES,93,7,9,1/8/2024
88,"Peso Pluma, Gabito Ballesteros & Junior H",LADY GAGA,69,14,29,1/8/2024
89,Lil Tecca,500lbs,81,35,13,1/8/2024
90,Kali Uchis,Igual Que Un Ángel,-,6,1,1/8/2024
91,J. Cole,No Role Modelz,87,35,65,1/8/2024
92,Bryson Tiller,Don't,-,66,2,1/8/2024
93,Kid Cudi & Travis Scott,GET OFF ME,-,93,1,1/8/2024
94,The Red Clay Strays,Wondering Why,71,71,3,1/8/2024
95,Chris Stapleton,White Horse,74,31,6,1/8/2024
96,Travis Scott,MELTDOWN,67,1,22,1/8/2024
97,Taylor Swift,Lover,75,57,6,1/8/2024
98,Nicki Minaj,Needle (feat. Drake),47,5,6,1/8/2024
99,That Mexican OT,02.02.99,-,89,1,1/8/2024
100,Zach Bryan,Oklahoma Smokeshow,78,38,11,1/8/2024
1,21 Savage,redrum,27,1,2,1/15/2024
2,"21 Savage, Travis Scott & Metro Boomin",née-nah,48,2,2,1/15/2024
3,21 Savage,all of me,28,3,2,1/15/2024
4,Jack Harlow,Lovin On Me,1,1,11,1/15/2024
5,21 Savage & Summer Walker,prove it,68,5,2,1/15/2024
6,21 Savage & Doja Cat,n.h.i.e.,58,6,2,1/15/2024
7,21 Savage & Brent Faiyaz,should've wore a bonnet,67,7,2,1/15/2024
8,21 Savage,sneaky,61,8,2,1/15/2024
9,Kali Uchis,Igual Que Un Ángel,90,6,2,1/15/2024
10,"21 Savage, Young Thug & Metro Boomin",pop ur shit,52,10,2,1/15/2024
11,"21 Savage, Lil Durk & Metro Boomin",dangerous,62,11,2,1/15/2024
12,SZA,Snooze,4,3,59,1/15/2024
13,Drake,Rich Baby Daddy (feat. Sexyy Red & SZA),3,2,16,1/15/2024
14,Nicki Minaj,FTCU,2,2,7,1/15/2024
15,Ariana Grande,"yes, and?",65,15,2,1/15/2024
16,Zach Bryan,I Remember Everything (feat. Kacey Musgraves),5,1,22,1/15/2024
17,Xavi,La Diabla,8,8,5,1/15/2024
18,Morgan Wallen,Last Night,7,1,51,1/15/2024
19,Lil Baby,Freestyle,6,6,79,1/15/2024
20,Doja Cat,Agora Hills,15,13,17,1/15/2024
21,21 Savage,red sky,82,21,2,1/15/2024
22,Drake,Best I Ever Had,13,13,42,1/15/2024
23,21 Savage,letter to my brudda,70,23,2,1/15/2024
24,Drake,You Broke My Heart,10,1,10,1/15/2024
25,Noah Kahan,Stick Season,12,11,12,1/15/2024
26,Morgan Wallen,Thinkin’ Bout Me,14,2,47,1/15/2024
